Name,SpielMinuten,Einsatz
"Alfredo Morales",1653,23
"Manuel Gulde",1840,21
"Mats Hummels",1873,21
"Nuri Sahin",1545,20
"Nordi Mukiele",1300,19
"Erik Thommy",NULL,19
"Maximilian Philipp",NULL,18
"Kevin Danso",1346,18
"Fabian Johnson",1082,18
"Renato Sanches",NULL,17
"Marvin Ducksch",NULL,16
"Törles Knöll",NULL,16
Rafinha,NULL,16
"Alessandro Schöpf",1093,15
"Felix Klaus",NULL,14
Bruma,NULL,14
"Alexander Hack",1084,14
Caiuby,NULL,14
"Yevhen Konoplianka",NULL,13
"Markus Suttner",NULL,6
"Waldemar Anton",3278,34
"Lukas Mühl",2972,31
"Gelson Fernandes",2348,28
"Matija Nastasic",2636,28
"Manuel Akanji",2371,25
"Robin Koch",2048,24
"Milos Veljkovic",2010,23
"Yuya Kubo",1430,22
"Niklas Stark",1996,22
"Alexandru Maxim",NULL,22
"Julian Weigl",1567,18
"Timo Baumgartl",1709,18
"Michael Lang",1319,17
"Marius Wolf",NULL,16
"Mahmoud Dahoud",NULL,14
"Marco Terrazzino",NULL,13
"Marcel Tisserand",NULL,10
"Amadou Haidara",NULL,9
"Julian Schieber",NULL,9
"Alexander Fuchs",NULL,9
"Haji Wright",NULL,7
"Felix Götze",NULL,6
"Alphonso Davies",NULL,6
"Corentin Tolisso",NULL,2
"Gian-Luca Waldschmidt",1830,30
James,1200,20
"Mario Gomez",2344,31
"Alexander Esswein",1303,17
"Adam Zrelák",1019,14
"Pascal Stenzel",1542,21
"Javier Martínez",1393,21
"Sebastian Kerk",1246,21
"Javairo Dilrosun",997,17
"Nicolás González",2288,30
"Pavel Kaderábek",2689,29
"Florian Grillitsch",2571,30
"Dominik Kohr",1065,18
"Danny Latza",1929,24
"Pierre Kunde",2028,29
"Daniel Baier",2980,33
"Genki Haraguchi",2285,28
"Ridle Baku",997,15
"Christian Gentner",2122,29
"Arne Maier",2187,24
"Christian Günter",3082,32
"Niko Gießelmann",2764,30
"Tin Jedvaj",1208,16
"Santiago Ascacibar",2574,27
"Nicolas Höfler",1719,18
"Ondrej Petrák",1737,22
"Sven Bender",2123,27
"Benjamin Pavard",2759,29
"Tim Leibold",2934,32
"Stefan Bell",2396,25
"Jérôme Boateng",1798,20
Aarón,3069,33
"Diego Demme",2155,26
"Philipp Bargfrede",1128,15
"Oliver Sorg",1679,19
"Jeffrey Gouweleeuw",2243,25
"Tony Jantschke",993,14
"Marcel Sobottka",1004,14
"D. Upamecano",1369,15
"Lukas Kübler",1264,16
"Kevin Wimmer",1820,22
"Marc-Oliver Kempf",2148,23
"Omar Mascarell",1073,14
"Julian Korb",1070,12
"Per Skjelbred",1059,16
"Stefan Ilsanker",1010,19
"Pirmin Schwegler",2182,27
"Andre Hoffmann",1131,13
"Patrick Erras",1317,19
Ewerton,1449,18
"David Abraham",1510,17
"Benjamin Stambouli",1902,21
"Marcin Kaminski",2581,27
"Robert Bauer",1816,22
"Karim Rekik",2198,24
"Matthias Ostrzolek",1581,18
"Adam Bodzek",1678,21
"Julian Baumgartlinger",1667,21
"Makoto Hasebe",2697,28
"Niklas Moisander",2835,30
"Kevin Vogt",2540,28
"Tobias Strobl",2431,29
"Sebastian Langkamp",1520,21
"Mijat Gacinovic",1760,29
"Stefan Posch",1499,17
"Andreas Beck",1872,24
"Sebastian Rudy",1455,21
"Enrico Valentini",1373,15
"Dennis Aogo",1069,15
"Ramazan Özcan",193,2
"Fabian Bredlow",1194,13
"Gregor Kobel",1565,17
"Alexander Nübel",1696,18
"Rune Jarstein",2924,31
"Lukás Hrádecky",3076,32
"Koen Casteels",2462,26
"Michael Esser",3084,32
"Luca Plogmann",47,1
"Yvon Mvogo",148,2
