Name,Position,Value
"Lars Bender","Defensives Mittelfeld",9
"Timo Baumgartl",Innenverteidiger,9
"Christian Günter",Linksverteidiger,9
"Sven Bender",Innenverteidiger,9
"Sebastian Rudy","Defensives Mittelfeld",9
"Alexander Schwolow",Torhüter,9
"Rabbi Matondo",NULL,9
"Admir Mehmedi","Hängende Spitze",10
"Johannes Eggestein",Rechtsaußen,10
"Rani Khedira","Defensives Mittelfeld",10
"Josip Brekalo",Linksaußen,10
"Lars Stindl","Hängende Spitze",10
"Yannick Gerhardt","Zentrales Mittelfeld",10
"Jordan Torunarigha",Innenverteidiger,10
"Christoph Kramer","Defensives Mittelfeld",10
"Janik Haberer","Zentrales Mittelfeld",10
"Marvin Plattenhardt","Linker Verteidiger",10
"Amine Harit","Offensives Mittelfeld",10
Bruma,Linksaußen,10
"Robin Koch",Innenverteidiger,10
"Alphonso Davies",Linksaußen,10
"Benjamin Stambouli",Innenverteidiger,10
"Kevin Trapp",Torhüter,10
"Florian Müller",Torhüter,10
"Marcelo Saracchi",NULL,10
"Pierre Kunde Malong",NULL,10
"Maximilian Mittelstädt","Linker Verteidiger",11
"Mijat Gacinovic","Offensives Mittelfeld",11
"Max Kruse",Mittelstürmer,12
"Benito Raman",Linksaußen,12
"Luca Waldschmidt",Mittelstürmer,12
"Daniel Ginczek",Mittelstürmer,12
"Michael Gregoritsch","Hängende Spitze",12
"Ihlas Bebou",Rechtsaußen,12
"Javairô Dilrosun",Linksaußen,12
"Mark Uth",Mittelstürmer,12
"Josuha Guilavogui","Defensives Mittelfeld",12
"Salif Sané",Innenverteidiger,12
"Ludwig Augustinsson","Linker Verteidiger",12
"Waldemar Anton",Innenverteidiger,12
"Jeffrey Gouweleeuw",Innenverteidiger,12
"Kevin Vogt",Innenverteidiger,12
"Alexander Nübel",Torhüter,12
"Yann Sommer",Torhüter,12
"Péter Gulácsi",Torhüter,12
"Santiago Ascacíbar",NULL,12
"Jiri Pavlenka",NULL,12
"Nabil Bentaleb","Zentrales Mittelfeld",13
"Suat Serdar","Zentrales Mittelfeld",13
"Maximilian Philipp","Hängende Spitze",13
"Koen Casteels",Torhüter,13
"Tyler Adams",NULL,13
"Ignacio Camacho",NULL,13
"Panagiotis Retsos",NULL,13
"Breel Embolo",Mittelstürmer,14
"Mitchell Weiser","Rechter Verteidiger",14
"Moussa Niakhaté",Innenverteidiger,14
"Mahmoud Dahoud","Zentrales Mittelfeld",14
"Roman Bürki",Torhüter,14
"Leonardo Balerdi",NULL,14
"Ishak Belfodil",Mittelstürmer,15
"Alfred Finnbogason",Mittelstürmer,15
"Karim Bellarabi",Rechtsaußen,15
"John Anthony Brooks",Innenverteidiger,15
"Ozan Kabak",Innenverteidiger,15
"Maximilian Arnold","Zentrales Mittelfeld",15
"Charles Aránguiz","Zentrales Mittelfeld",15
"Danny da Costa","Rechter Verteidiger",15
"Jacob Bruun Larsen",Linksaußen,15
"Matheus Cunha",Mittelstürmer,15
"Nordi Mukiele","Rechter Verteidiger",15
"Karim Rekik",Innenverteidiger,15
Paulinho,NULL,15
"Martin Hinteregger",Innenverteidiger,16
"Jean-Kévin Augustin",Mittelstürmer,16
"Ondrej Duda","Offensives Mittelfeld",17
"Lucas Alario",Mittelstürmer,17
"Reiss Nelson",Rechtsaußen,17
"Philipp Max","Linker Verteidiger",17
"Valentino Lazaro","Rechtes Mittelfeld",17
"Nadiem Amiri","Zentrales Mittelfeld",17
"Konrad Laimer","Zentrales Mittelfeld",17
"Diego Demme","Defensives Mittelfeld",17
"Dodi Lukebakio",Rechtsaußen,18
"Davie Selke",Mittelstürmer,18
"Renato Sanches","Zentrales Mittelfeld",18
"Matija Nastasic",Innenverteidiger,18
"Manuel Neuer",Torhüter,18
"Wout Weghorst",Mittelstürmer,20
"Milot Rashica",Linksaußen,20
"Marko Grujic","Zentrales Mittelfeld",20
"Denis Zakaria","Defensives Mittelfeld",20
"Willi Orban",Innenverteidiger,20
"Jérôme Roussillon","Linker Verteidiger",20
"Pavel Kaderabek","Rechter Verteidiger",20
Wendell,"Linker Verteidiger",20
"Weston McKennie","Zentrales Mittelfeld",20
"Niklas Stark",Innenverteidiger,20
"Amadou Haidara","Zentrales Mittelfeld",20
"Jérôme Boateng",Innenverteidiger,20
"Aarón Martín",NULL,20
"Jean-Philippe Mateta",Mittelstürmer,22
"Filip Kostic","Linkes Mittelfeld",22
"Davy Klaassen","Offensives Mittelfeld",22
"Florian Neuhaus","Zentrales Mittelfeld",22
"Marcel Halstenberg","Linker Verteidiger",22
"Kevin Kampl","Zentrales Mittelfeld",22
"Florian Grillitsch","Zentrales Mittelfeld",22
"Arne Maier","Defensives Mittelfeld",24
"Mario Götze","Offensives Mittelfeld",25
"Emil Forsberg",Linksaußen,25
"Marcel Sabitzer",Rechtsaußen,25
"Raphaël Guerreiro","Linkes Mittelfeld",25
"Nico Schulz","Linker Verteidiger",25
"Evan N'Dicka",Innenverteidiger,25
"Julian Weigl","Defensives Mittelfeld",25
"Thomas Delaney","Zentrales Mittelfeld",27
"Javi Martínez","Defensives Mittelfeld",27
"Jean-Philippe Gbamin","Defensives Mittelfeld",28
"Dan-Axel Zagadou",Innenverteidiger,28
"Kevin Volland",Mittelstürmer,30
"Alassane Plea",Mittelstürmer,30
"Maximilian Eggestein","Zentrales Mittelfeld",30
"Lukas Klostermann","Rechter Verteidiger",30
"Achraf Hakimi","Rechter Verteidiger",30
"Nico Elvedi",Innenverteidiger,30
"Benjamin Pavard",Innenverteidiger,30
"Dayot Upamecano",NULL,30
"Kerem Demirbay","Zentrales Mittelfeld",32
"Axel Witsel","Defensives Mittelfeld",32
"Yussuf Poulsen",Mittelstürmer,35
Joelinton,Mittelstürmer,35
"Thomas Müller","Hängende Spitze",35
"Matthias Ginter",Innenverteidiger,35
