Name,Verein,Position,Einsatz,Alter,Vorlagen,Elfmetertor,Tore
Jérôme Roussillon,VfL Wolfsburg,Linker Verteidiger,28.0,26,6,0.0,3.0
Marcel Halstenberg,RasenBallsport Leipzig,Linker Verteidiger,28.0,27,6,2.0,3.0
Daniel Brosinski,1.FSV Mainz 05,Rechter Verteidiger,26.0,30,6,3.0,3.0
Pavel Kaderabek,TSG 1899 Hoffenheim,Rechter Verteidiger,29.0,27,4,0.0,3.0
Theodor Gebre Selassie,SV Werder Bremen,Rechter Verteidiger,32.0,32,3,0.0,3.0
David Alaba,FC Bayern München,Linker Verteidiger,31.0,26,3,0.0,3.0
John Anthony Brooks,VfL Wolfsburg,Innenverteidiger,29.0,26,3,0.0,3.0
Josip Brekalo,VfL Wolfsburg,Linksaußen,25.0,20,3,0.0,3.0
Eduard Löwen,1.FC Nürnberg,Zentrales Mittelfeld,22.0,22,3,0.0,3.0
Yuya Osako,SV Werder Bremen,Mittelstürmer,21.0,29,3,0.0,3.0
Lars Stindl,Borussia Mönchengladbach,Hängende Spitze,21.0,30,3,0.0,3.0
Patrick Herrmann,Borussia Mönchengladbach,Rechtsaußen,24.0,28,2,0.0,3.0
Kenan Karaman,Fortuna Düsseldorf,Linksaußen,21.0,25,2,0.0,3.0
Matheus Pereira,1.FC Nürnberg,Rechtsaußen,19.0,22,2,0.0,3.0
Nadiem Amiri,TSG 1899 Hoffenheim,Zentrales Mittelfeld,13.0,22,2,0.0,3.0
Jonathan Tah,Bayer 04 Leverkusen,Innenverteidiger,33.0,23,1,0.0,3.0
Nabil Bentaleb,FC Schalke 04,Zentrales Mittelfeld,25.0,24,1,3.0,3.0
Kevin Möhwald,SV Werder Bremen,Offensives Mittelfeld,23.0,25,1,0.0,3.0
Bobby Wood,Hannover 96,Mittelstürmer,20.0,26,1,0.0,3.0
Steven Skrzybski,FC Schalke 04,Rechtsaußen,12.0,26,1,0.0,3.0
Gonçalo Paciência,Eintracht Frankfurt,Mittelstürmer,11.0,24,1,0.0,3.0
Jonathas,Hannover 96,Mittelstürmer,10.0,30,1,1.0,3.0
Martin Hinteregger,Spiel für mehrere Vereine,Innenverteidiger,32.0,26,0,0.0,3.0
Robin Knoche,VfL Wolfsburg,Innenverteidiger,31.0,26,0,0.0,3.0
Javi Martínez,FC Bayern München,Defensives Mittelfeld,21.0,30,0,0.0,3.0
Sergio Córdova,FC Augsburg,Mittelstürmer,20.0,21,0,0.0,3.0
Oliver Fink,Fortuna Düsseldorf,Zentrales Mittelfeld,18.0,36,0,0.0,3.0
Jean-Kévin Augustin,RasenBallsport Leipzig,Mittelstürmer,17.0,21,0,0.0,3.0
Ozan Kabak,VfB Stuttgart,Innenverteidiger,15.0,19,0,0.0,3.0
Joshua Kimmich,FC Bayern München,Rechter Verteidiger,34.0,24,14,0.0,2.0
Maximilian Arnold,VfL Wolfsburg,Zentrales Mittelfeld,33.0,24,7,0.0,2.0
Charles Aránguiz,Bayer 04 Leverkusen,Zentrales Mittelfeld,24.0,30,7,0.0,2.0
Thiago,FC Bayern München,Zentrales Mittelfeld,30.0,28,6,0.0,2.0
Yannick Gerhardt,VfL Wolfsburg,Zentrales Mittelfeld,30.0,25,6,0.0,2.0
Kevin Kampl,RasenBallsport Leipzig,Zentrales Mittelfeld,27.0,28,6,0.0,2.0
