Name Verein Position Einsatz Spielminuten "Shot On Target"
"Alessandro Schöpf" "FC Schalke 04" "Offensives Mittelfeld" 15 1093 3
"Arne Maier" "Hertha BSC" "Defensives Mittelfeld" 24 2187 6
"Valentino Lazaro" "Hertha BSC" "Rechte Außenbahn" 31 2918 8
"Oliver Fink" "Fortuna Düsseldorf" "Zentrales Mittelfeld" 18 1118 3
"Achraf Hakimi" "Borussia Dortmund" Rechtsverteidiger 21 1871 5
"Mats Hummels" "FC Bayern München" Innenverteidiger 21 1873 5
"Ermin Bicakcic" "TSG 1899 Hoffenheim" Innenverteidiger 25 1920 5
"Christian Günter" "SC Freiburg" Linksverteidiger 32 3082 8
"Daniel Brosinski" "1. FSV Mainz 05" Rechtsverteidiger 26 2343 6
"Konrad Laimer" "RB Leipzig" "Zentrales Mittelfeld" 29 1972 5
"Niko Gießelmann" "Fortuna Düsseldorf" Linksverteidiger 30 2764 7
"Charles Aránguiz" "Bayer 04 Leverkusen" "Zentrales Mittelfeld" 24 1994 5
"Niklas Stark" "Hertha BSC" Innenverteidiger 22 1996 5
"Christoph Kramer" "B. Mönchengladbach" "Defensives Mittelfeld" 18 1207 3
"Tin Jedvaj" "Bayer 04 Leverkusen" Innenverteidiger 16 1208 3
Wendell "Bayer 04 Leverkusen" Linksverteidiger 28 2426 6
"Jean-Philippe Gbamin" "1. FSV Mainz 05" "Defensives Mittelfeld" 31 2840 7
William "VfL Wolfsburg" Rechtsverteidiger 31 2864 7
"Martin Hinteregger" "Eintracht Frankfurt" Innenverteidiger 32 2904 7
"Santiago Ascacibar" "VfB Stuttgart" "Defensives Mittelfeld" 27 2574 6
"Nicolas Höfler" "SC Freiburg" "Defensives Mittelfeld" 18 1719 4
"Nordi Mukiele" "RB Leipzig" Rechtsverteidiger 19 1300 3
"Ondrej Petrák" "1. FC Nürnberg" "Defensives Mittelfeld" 22 1737 4
"Michael Lang" "B. Mönchengladbach" Rechtsverteidiger 17 1319 3
"Emiliano Insúa" "VfB Stuttgart" Linksverteidiger 27 2219 5
"Miiko Albornoz" "Hannover 96" Linksverteidiger 22 1779 4
"Dan-Axel Zagadou" "Borussia Dortmund" Innenverteidiger 17 1361 3
"John Anthony Brooks" "VfL Wolfsburg" Innenverteidiger 29 2798 6
"Lukasz Piszczek" "Borussia Dortmund" Rechtsverteidiger 20 1876 4
"Niklas Süle" "FC Bayern München" Innenverteidiger 31 2831 6
"Aleksandar Dragovic" "Bayer 04 Leverkusen" Innenverteidiger 18 1443 3
"Linton Maina" "Hannover 96" "Linke Außenbahn" 20 1460 3
"Jean Zimmer" "Fortuna Düsseldorf" Rechtsverteidiger 18 1505 3
"Nuri Sahin" "SV Werder Bremen" "Defensives Mittelfeld" 20 1545 3
"Matija Nastasic" "FC Schalke 04" Innenverteidiger 28 2636 5
"Sven Bender" "Bayer 04 Leverkusen" Innenverteidiger 27 2123 4
"Ludwig Augustinsson" "SV Werder Bremen" Linksverteidiger 34 3237 6
"Danny da Costa" "Eintracht Frankfurt" Rechtsverteidiger 34 3253 6
"Georg Margreitter" "1. FC Nürnberg" Innenverteidiger 27 2206 4
"Benjamin Pavard" "VfB Stuttgart" Innenverteidiger 29 2759 5
"Rani Khedira" "FC Augsburg" "Defensives Mittelfeld" 30 2800 5
"Oscar Wendt" "B. Mönchengladbach" Linksverteidiger 32 2908 5
"Tim Leibold" "1. FC Nürnberg" Linksverteidiger 32 2934 5
"Gonzalo Castro" "VfB Stuttgart" "Zentrales Mittelfeld" 25 1786 3
"Robin Knoche" "VfL Wolfsburg" Innenverteidiger 32 2986 5
"Stefan Bell" "1. FSV Mainz 05" Innenverteidiger 25 2396 4
"Jérôme Boateng" "FC Bayern München" Innenverteidiger 20 1798 3
Aarón "1. FSV Mainz 05" Linksverteidiger 33 3069 5
"Janik Haberer" "SC Freiburg" "Offensives Mittelfeld" 27 2497 4
"Abdou Diallo" "Borussia Dortmund" Innenverteidiger 28 2554 4
"Ibrahima Konaté" "RB Leipzig" Innenverteidiger 28 2581 4
"Waldemar Anton" "Hannover 96" Innenverteidiger 34 3278 5
"Milos Veljkovic" "SV Werder Bremen" Innenverteidiger 23 2010 3
"Diego Demme" "RB Leipzig" "Defensives Mittelfeld" 26 2155 3
"Jonathan Tah" "Bayer 04 Leverkusen" Innenverteidiger 33 3130 4
"Gelson Fernandes" "Eintracht Frankfurt" "Defensives Mittelfeld" 28 2348 3
"Manuel Akanji" "Borussia Dortmund" Innenverteidiger 25 2371 3
"Matthias Zimmermann" "Fortuna Düsseldorf" Rechtsverteidiger 34 3243 4
"Dominique Heintz" "SC Freiburg" Innenverteidiger 34 3266 4
"Nico Elvedi" "B. Mönchengladbach" Innenverteidiger 30 2776 3
"Salif Sané" "FC Schalke 04" Innenverteidiger 30 2824 3
"Lukas Mühl" "1. FC Nürnberg" Innenverteidiger 31 2972 3
"Moussa Niakhaté" "1. FSV Mainz 05" Innenverteidiger 33 2975 3
