Name,Verein,Position,Einsatz,SpielMinuten,PassCompleted,TotalPass
Patrick Erras,1. FC Nürnberg,Defensives Mittelfeld,19.0,1317.0,373.0,467.0
Alessandro Schöpf,FC Schalke 04,Offensives Mittelfeld,15.0,1093.0,380.0,476.0
Danny Latza,1. FSV Mainz 05,Defensives Mittelfeld,24.0,1929.0,823.0,1031.0
Fabian Johnson,B. Mönchengladbach,Linke Außenbahn,18.0,1082.0,446.0,559.0
Diego Demme,RB Leipzig,Defensives Mittelfeld,26.0,2155.0,1215.0,1524.0
Marcel Sobottka,Fortuna Düsseldorf,Defensives Mittelfeld,14.0,1004.0,268.0,337.0
Kingsley Coman,FC Bayern München,Linke Außenbahn,21.0,1441.0,539.0,678.0
Amine Harit,FC Schalke 04,Offensives Mittelfeld,18.0,1152.0,345.0,434.0
Oscar Wendt,B. Mönchengladbach,Linksverteidiger,32.0,2908.0,1475.0,1856.0
Maximilian Eggestein,SV Werder Bremen,Zentrales Mittelfeld,34.0,3267.0,1273.0,1603.0
Sebastian Rudy,FC Schalke 04,Defensives Mittelfeld,21.0,1455.0,528.0,665.0
Mitchell Weiser,Bayer 04 Leverkusen,Rechtsverteidiger,30.0,2256.0,1267.0,1596.0
Evan N'Dicka,Eintracht Frankfurt,Innenverteidiger,27.0,2483.0,882.0,1113.0
Jean-Philippe Gbamin,1. FSV Mainz 05,Defensives Mittelfeld,31.0,2840.0,1082.0,1366.0
Joelinton,TSG 1899 Hoffenheim,Stürmer,28.0,2268.0,560.0,707.0
Stefan Bell,1. FSV Mainz 05,Innenverteidiger,25.0,2396.0,957.0,1209.0
Tin Jedvaj,Bayer 04 Leverkusen,Innenverteidiger,16.0,1208.0,564.0,714.0
Jordan Torunarigha,Hertha BSC,Innenverteidiger,14.0,1233.0,391.0,496.0
Stefan Ilsanker,RB Leipzig,Defensives Mittelfeld,19.0,1010.0,366.0,465.0
Jonathan Schmid,FC Augsburg,Rechte Außenbahn,28.0,2687.0,1104.0,1404.0
Ludwig Augustinsson,SV Werder Bremen,Linksverteidiger,34.0,3237.0,1546.0,1967.0
Willi Orban,RB Leipzig,Innenverteidiger,24.0,2167.0,783.0,999.0
Janik Haberer,SC Freiburg,Offensives Mittelfeld,27.0,2497.0,841.0,1074.0
Gian-Luca Waldschmidt,SC Freiburg,Stürmer,30.0,1830.0,476.0,609.0
Tim Leibold,1. FC Nürnberg,Linksverteidiger,32.0,2934.0,1229.0,1588.0
Kerem Demirbay,TSG 1899 Hoffenheim,Zentrales Mittelfeld,26.0,2132.0,1096.0,1417.0
Robert Lewandowski,FC Bayern München,Stürmer,33.0,3129.0,570.0,737.0
Jacob Bruun Larsen,Borussia Dortmund,Linke Außenbahn,24.0,1350.0,412.0,534.0
Nabil Bentaleb,FC Schalke 04,Defensives Mittelfeld,25.0,1935.0,729.0,945.0
Ozan Kabak,VfB Stuttgart,Innenverteidiger,15.0,1431.0,432.0,561.0
Pirmin Schwegler,Hannover 96,Defensives Mittelfeld,27.0,2182.0,924.0,1201.0
Julian Brandt,Bayer 04 Leverkusen,Linke Außenbahn,33.0,2823.0,1437.0,1868.0
David Abraham,Eintracht Frankfurt,Innenverteidiger,17.0,1510.0,512.0,666.0
Jeffrey Gouweleeuw,FC Augsburg,Innenverteidiger,25.0,2243.0,931.0,1213.0
Emil Forsberg,RB Leipzig,Linke Außenbahn,20.0,1305.0,405.0,529.0
Benjamin Stambouli,FC Schalke 04,Innenverteidiger,21.0,1902.0,759.0,994.0
Genki Haraguchi,Hannover 96,Linke Außenbahn,28.0,2285.0,657.0,861.0
Andrej Kramaric,TSG 1899 Hoffenheim,Stürmer,30.0,2548.0,814.0,1067.0
Ibrahima Konaté,RB Leipzig,Innenverteidiger,28.0,2581.0,789.0,1037.0
Maximilian Arnold,VfL Wolfsburg,Zentrales Mittelfeld,33.0,3047.0,1110.0,1465.0
Daniel Baier,FC Augsburg,Defensives Mittelfeld,33.0,2980.0,1225.0,1617.0
Bobby Wood,Hannover 96,Stürmer,20.0,1273.0,227.0,300.0
Alexander Hack,1. FSV Mainz 05,Innenverteidiger,14.0,1084.0,420.0,556.0
Yannick Gerhardt,VfL Wolfsburg,Zentrales Mittelfeld,30.0,2612.0,770.0,1020.0
Jean-Paul Boëtius,1. FSV Mainz 05,Linke Außenbahn,30.0,2257.0,648.0,859.0
Christian Pulisic,Borussia Dortmund,Rechte Außenbahn,20.0,1030.0,399.0,530.0
Bastian Oczipka,FC Schalke 04,Linksverteidiger,21.0,2015.0,808.0,1076.0
Ondrej Duda,Hertha BSC,Offensives Mittelfeld,32.0,2687.0,951.0,1267.0
Leonardo Bittencourt,TSG 1899 Hoffenheim,Linke Außenbahn,21.0,1146.0,354.0,472.0
Nico Schulz,TSG 1899 Hoffenheim,Linksverteidiger,30.0,2711.0,1166.0,1555.0
Jérôme Roussillon,VfL Wolfsburg,Linksverteidiger,28.0,2617.0,1020.0,1361.0
