Name,Verein,Position,Einsatz,SpielMinuten,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter,AbgewehrteBaelle,ShotOnTarget,Balleroberungen,BallVerluste,Fouls,Clean Sheet,SuccessfulDribblings,TotalDribblings,ErrorGegentor),FlankenGeblockt,GesamteFlanken,GeklaerteBaelle,GrosschancenKreiert
Nabil Bentaleb,FC Schalke 04,Defensives Mittelfeld,25.0,1935.0,35.0,,,,,18.0,23.0,30.0,,20.0,29.0,,,,17.0,2.0
Aleksandar Dragovic,Bayer 04 Leverkusen,Innenverteidiger,18.0,1443.0,26.0,,,,,11.0,,11.0,,,,,,,63.0,
Lukas Mühl,1. FC Nürnberg,Innenverteidiger,31.0,2972.0,53.0,,,,,35.0,,25.0,,,,1.0,,,131.0,
Andre Hoffmann,Fortuna Düsseldorf,Innenverteidiger,13.0,1131.0,20.0,,,,,14.0,,15.0,,,,,,,42.0,
Nico Elvedi,B. Mönchengladbach,Innenverteidiger,30.0,2776.0,49.0,,,,,19.0,,17.0,,9.0,11.0,6.0,,,130.0,
Niklas Stark,Hertha BSC,Innenverteidiger,22.0,1996.0,35.0,,,,,19.0,,20.0,,,,2.0,,,133.0,
Pascal Stenzel,SC Freiburg,Rechtsverteidiger,21.0,1542.0,27.0,,,,,26.0,,21.0,,,,1.0,,,45.0,3.0
Santiago Ascacibar,VfB Stuttgart,Defensives Mittelfeld,27.0,2574.0,45.0,,,,,50.0,25.0,24.0,,13.0,20.0,1.0,,,29.0,
Patrick Erras,1. FC Nürnberg,Defensives Mittelfeld,19.0,1317.0,23.0,,,,,11.0,,9.0,,,,,,,44.0,
Nicolas Höfler,SC Freiburg,Defensives Mittelfeld,18.0,1719.0,30.0,,,,,22.0,23.0,26.0,,10.0,19.0,,,,38.0,
Thiago,FC Bayern München,Zentrales Mittelfeld,30.0,2544.0,44.0,,,,,67.0,40.0,52.0,,54.0,66.0,1.0,,,18.0,5.0
Kevin Möhwald,SV Werder Bremen,Zentrales Mittelfeld,23.0,984.0,17.0,,,,,10.0,20.0,15.0,,9.0,18.0,,,,13.0,
Ewerton,1. FC Nürnberg,Innenverteidiger,18.0,1449.0,25.0,,,,,20.0,,17.0,,10.0,11.0,1.0,,,106.0,
David Abraham,Eintracht Frankfurt,Innenverteidiger,17.0,1510.0,26.0,,,,,14.0,,11.0,,,,,,,60.0,
Willi Orban,RB Leipzig,Innenverteidiger,24.0,2167.0,37.0,,,,,26.0,,27.0,,,,,,,139.0,
Marvin Bakalorz,Hannover 96,Zentrales Mittelfeld,25.0,1590.0,27.0,,,,,10.0,36.0,22.0,,10.0,28.0,,,,45.0,
Benjamin Stambouli,FC Schalke 04,Innenverteidiger,21.0,1902.0,32.0,,,,,31.0,11.0,23.0,,8.0,11.0,2.0,,,60.0,
Gonzalo Castro,VfB Stuttgart,Zentrales Mittelfeld,25.0,1786.0,30.0,,,,,30.0,27.0,28.0,,6.0,13.0,1.0,,,20.0,3.0
Christoph Kramer,B. Mönchengladbach,Defensives Mittelfeld,18.0,1207.0,20.0,,,,,22.0,23.0,24.0,,9.0,16.0,,,,22.0,2.0
Daniel Caligiuri,FC Schalke 04,Rechtsverteidiger,31.0,2948.0,48.0,,,,,55.0,88.0,30.0,,61.0,106.0,1.0,,,64.0,6.0
Marcin Kaminski,Fortuna Düsseldorf,Innenverteidiger,27.0,2581.0,42.0,,,,,13.0,,7.0,,,,2.0,,,104.0,
Davy Klaassen,SV Werder Bremen,Zentrales Mittelfeld,33.0,2985.0,48.0,,,,,46.0,35.0,48.0,,15.0,29.0,,,,41.0,6.0
Ozan Kabak,VfB Stuttgart,Innenverteidiger,15.0,1431.0,23.0,,,,,19.0,,21.0,,14.0,18.0,1.0,,,53.0,
Robert Bauer,1. FC Nürnberg,Rechtsverteidiger,22.0,1816.0,29.0,,,,,31.0,,19.0,,,,,,,66.0,
Dominik Kohr,Bayer 04 Leverkusen,Zentrales Mittelfeld,18.0,1065.0,17.0,,,,,28.0,16.0,22.0,,4.0,9.0,1.0,,,15.0,
Karim Rekik,Hertha BSC,Innenverteidiger,24.0,2198.0,35.0,,,,,22.0,,16.0,,,,,,,85.0,
Milos Veljkovic,SV Werder Bremen,Innenverteidiger,23.0,2010.0,32.0,,,,,23.0,,21.0,,,,,,,105.0,
Matthias Ostrzolek,Hannover 96,Linksverteidiger,18.0,1581.0,25.0,,,,,18.0,11.0,13.0,,,,2.0,,,38.0,
Timo Baumgartl,VfB Stuttgart,Innenverteidiger,18.0,1709.0,27.0,,,,,23.0,,12.0,,,,,,,96.0,
Konrad Laimer,RB Leipzig,Zentrales Mittelfeld,29.0,1972.0,31.0,,,,,39.0,67.0,40.0,,31.0,58.0,,,,19.0,5.0
Jean-Paul Boëtius,1. FSV Mainz 05,Linke Außenbahn,30.0,2257.0,35.0,,,,,32.0,66.0,52.0,,30.0,56.0,,,,11.0,9.0
Adam Bodzek,Fortuna Düsseldorf,Defensives Mittelfeld,21.0,1678.0,26.0,,,,,31.0,,33.0,,,,,,,39.0,
Moussa Niakhaté,1. FSV Mainz 05,Innenverteidiger,33.0,2975.0,46.0,,,,,31.0,,36.0,,8.0,10.0,1.0,,,134.0,
Lars Bender,Bayer 04 Leverkusen,Rechtsverteidiger,20.0,1428.0,22.0,,,,,30.0,11.0,27.0,,10.0,16.0,,,,23.0,
Jonathan Schmid,FC Augsburg,Rechte Außenbahn,28.0,2687.0,41.0,,,,,22.0,40.0,21.0,,16.0,36.0,2.0,,,59.0,2.0
Marko Grujic,Hertha BSC,Zentrales Mittelfeld,22.0,1907.0,29.0,,,,,33.0,40.0,44.0,,29.0,49.0,,,,50.0,
Axel Witsel,Borussia Dortmund,Defensives Mittelfeld,33.0,3093.0,47.0,,,,,33.0,35.0,26.0,,25.0,35.0,,,,47.0,3.0
Alfredo Morales,Fortuna Düsseldorf,Zentrales Mittelfeld,23.0,1653.0,25.0,,,,,18.0,24.0,43.0,,3.0,12.0,,,,29.0,2.0
Valentino Lazaro,Hertha BSC,Rechte Außenbahn,31.0,2918.0,44.0,,,,,33.0,65.0,23.0,,34.0,74.0,,,,54.0,12.0
Julian Baumgartlinger,Bayer 04 Leverkusen,Defensives Mittelfeld,21.0,1667.0,25.0,,,,,30.0,24.0,19.0,,15.0,23.0,1.0,,,20.0,
Achraf Hakimi,Borussia Dortmund,Rechtsverteidiger,21.0,1871.0,28.0,,,,,19.0,56.0,14.0,,39.0,67.0,2.0,,,39.0,4.0
Kevin Kampl,RB Leipzig,Zentrales Mittelfeld,27.0,2212.0,33.0,,,,,24.0,34.0,30.0,,24.0,32.0,,,,20.0,7.0
Marcel Halstenberg,RB Leipzig,Linksverteidiger,28.0,2556.0,38.0,,,,,43.0,40.0,24.0,,29.0,44.0,,,,53.0,14.0
Niklas Süle,FC Bayern München,Innenverteidiger,31.0,2831.0,42.0,,,,,23.0,,17.0,,,,,,,82.0,
Janik Haberer,SC Freiburg,Offensives Mittelfeld,27.0,2497.0,37.0,,,,,47.0,58.0,46.0,,22.0,38.0,,,,49.0,4.0
Jonathan Tah,Bayer 04 Leverkusen,Innenverteidiger,33.0,3130.0,46.0,,,,,30.0,15.0,16.0,,17.0,20.0,1.0,,,137.0,
