Name,Verein,Position,Einsatz,Alter,Vorlagen,Elfmetertor,Tore,Nationalitaet,SpielMinuten,ShotOnTarget,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter,AbgewehrteBaelle,Balleroberungen,BallVerluste,Fouls,CleanSheet,SuccessfulDribblings,TotalDribblings,ErrorGegentor,FlankenGeblockt,GesamteFlanken,GeklaerteBaelle,GrosschancenKreiert,GrossChancenVereitelt,GesamteChancen,GewonneneLuftkaempfe,GesamteLuftkaempfe,Paraden,PassCompleted,TotalPass,TotalShots,SuccessfulTackles,TotalTackles,TorschussVorlagen,GewonneneZweikaempfe,GesamteZweikaempfe,Value
Elvis Rexhbecaj,VfL Wolfsburg,Zentrales Mittelfeld,24.0,21.0,2.0,0.0,2.0,Deutschland,1225.0,4.0,13.0,NULL,NULL,NULL,16.0,29.0,12.0,NULL,9.0,18.0,NULL,NULL,NULL,16.0,2.0,NULL,NULL,19.0,41.0,NULL,289.0,416.0,10.0,16.0,37.0,8.0,87.0,160.0,8.0
Daniel Didavi,VfB Stuttgart,Offensives Mittelfeld,20.0,29.0,2.0,0.0,2.0,Deutschland & Benin,1027.0,10.0,NULL,NULL,NULL,NULL,15.0,27.0,12.0,NULL,11.0,17.0,NULL,NULL,NULL,NULL,2.0,NULL,NULL,6.0,21.0,NULL,326.0,461.0,24.0,15.0,33.0,28.0,68.0,133.0,4.0
Mark Uth,FC Schalke 04,Mittelstürmer,20.0,27.0,2.0,0.0,2.0,Deutschland,1507.0,15.0,8.0,NULL,NULL,NULL,11.0,39.0,26.0,NULL,16.0,40.0,NULL,NULL,NULL,11.0,2.0,NULL,NULL,14.0,51.0,NULL,275.0,383.0,39.0,11.0,39.0,12.0,74.0,191.0,12.0
Jordan Torunarigha,Hertha BSC,Innenverteidiger,14.0,21.0,2.0,0.0,2.0,Deutschland & Nigeria,1233.0,NULL,30.0,NULL,NULL,NULL,28.0,13.0,26.0,NULL,NULL,NULL,NULL,NULL,NULL,54.0,2.0,NULL,NULL,37.0,53.0,NULL,391.0,496.0,NULL,28.0,43.0,NULL,76.0,142.0,10.0
Jean-Philippe Gbamin,1.FSV Mainz 05,Defensives Mittelfeld,31.0,23.0,1.0,0.0,2.0,Elfenbeinküste & Frankreich,2840.0,7.0,31.0,NULL,NULL,NULL,33.0,88.0,38.0,NULL,34.0,72.0,NULL,NULL,NULL,32.0,2.0,NULL,NULL,53.0,89.0,NULL,1082.0,1366.0,35.0,33.0,83.0,20.0,172.0,360.0,28.0
Nico Elvedi,Borussia Mönchengladbach,Innenverteidiger,30.0,22.0,1.0,0.0,2.0,Schweiz,2776.0,3.0,49.0,NULL,NULL,NULL,19.0,NULL,17.0,NULL,9.0,11.0,6.0,NULL,NULL,130.0,NULL,NULL,NULL,80.0,134.0,NULL,1928.0,2081.0,14.0,19.0,52.0,NULL,145.0,232.0,30.0
Ja-cheol Koo,FC Augsburg,Zentrales Mittelfeld,26.0,30.0,1.0,0.0,2.0,Südkorea,1744.0,8.0,24.0,NULL,NULL,NULL,24.0,51.0,26.0,NULL,14.0,25.0,NULL,NULL,NULL,18.0,NULL,NULL,NULL,23.0,58.0,NULL,505.0,629.0,26.0,24.0,52.0,21.0,108.0,233.0,NULL
Suat Serdar,FC Schalke 04,Zentrales Mittelfeld,26.0,22.0,1.0,0.0,2.0,Deutschland & Türkei,1831.0,9.0,22.0,NULL,NULL,NULL,34.0,61.0,39.0,NULL,38.0,63.0,1.0,NULL,NULL,NULL,2.0,NULL,NULL,21.0,42.0,NULL,316.0,441.0,30.0,34.0,88.0,12.0,139.0,291.0,13.0
Matheus Cunha,RasenBallsport Leipzig,Mittelstürmer,25.0,19.0,1.0,0.0,2.0,Brasilien,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.0
Josuha Guilavogui,VfL Wolfsburg,Defensives Mittelfeld,19.0,28.0,1.0,0.0,2.0,Frankreich & Guinea,1666.0,5.0,44.0,NULL,NULL,NULL,15.0,NULL,24.0,NULL,8.0,10.0,3.0,NULL,NULL,55.0,NULL,NULL,NULL,29.0,49.0,NULL,654.0,804.0,NULL,15.0,41.0,8.0,75.0,137.0,12.0
Christoph Kramer,Borussia Mönchengladbach,Defensives Mittelfeld,18.0,28.0,1.0,0.0,2.0,Deutschland,1207.0,3.0,20.0,NULL,NULL,NULL,22.0,23.0,24.0,NULL,9.0,16.0,NULL,NULL,NULL,22.0,2.0,NULL,NULL,15.0,42.0,NULL,651.0,736.0,8.0,22.0,66.0,8.0,79.0,178.0,10.0
Mathew Leckie,Hertha BSC,Rechtsaußen,18.0,28.0,1.0,0.0,2.0,Australien,1017.0,9.0,13.0,NULL,NULL,NULL,13.0,37.0,18.0,NULL,10.0,28.0,NULL,NULL,NULL,13.0,NULL,NULL,NULL,46.0,66.0,NULL,237.0,351.0,22.0,13.0,29.0,12.0,94.0,176.0,NULL
Niclas Füllkrug,Hannover 96,Mittelstürmer,14.0,26.0,1.0,1.0,2.0,Deutschland,1195.0,13.0,NULL,NULL,NULL,NULL,NULL,34.0,20.0,NULL,5.0,21.0,NULL,NULL,NULL,15.0,NULL,NULL,NULL,64.0,138.0,NULL,268.0,388.0,37.0,NULL,NULL,13.0,85.0,215.0,8.0
Adam Zrelak,1.FC Nürnberg,Mittelstürmer,14.0,24.0,1.0,0.0,2.0,Slowakei,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Joshua Brenet,TSG 1899 Hoffenheim,Rechter Verteidiger,14.0,25.0,1.0,0.0,2.0,Niederlande & Curacao,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.5
Raffael,Borussia Mönchengladbach,Hängende Spitze,13.0,34.0,1.0,0.0,2.0,Brasilien,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Niklas Süle,FC Bayern München,Innenverteidiger,31.0,23.0,0.0,0.0,2.0,Deutschland,2831.0,6.0,42.0,NULL,NULL,NULL,23.0,NULL,17.0,NULL,NULL,NULL,NULL,NULL,NULL,82.0,NULL,NULL,NULL,80.0,104.0,NULL,2385.0,2566.0,20.0,23.0,35.0,6.0,117.0,171.0,60.0
Salif Sané,FC Schalke 04,Innenverteidiger,30.0,28.0,0.0,0.0,2.0,Senegal & Frankreich,2824.0,3.0,67.0,NULL,NULL,NULL,38.0,NULL,27.0,NULL,13.0,15.0,3.0,NULL,NULL,143.0,NULL,NULL,NULL,118.0,153.0,NULL,1280.0,1541.0,19.0,38.0,72.0,NULL,217.0,307.0,12.0
Matthias Ginter,Borussia Mönchengladbach,Innenverteidiger,27.0,25.0,0.0,0.0,2.0,Deutschland,2522.0,8.0,19.0,NULL,NULL,NULL,14.0,NULL,12.0,NULL,NULL,NULL,1.0,NULL,NULL,97.0,NULL,NULL,NULL,67.0,111.0,NULL,1535.0,1781.0,23.0,14.0,33.0,7.0,108.0,181.0,35.0
Georg Margreitter,1.FC Nürnberg,Innenverteidiger,27.0,30.0,0.0,0.0,2.0,Österreich,2206.0,4.0,28.0,NULL,NULL,NULL,24.0,10.0,10.0,NULL,7.0,10.0,NULL,NULL,NULL,137.0,NULL,NULL,NULL,59.0,94.0,NULL,990.0,1214.0,16.0,24.0,46.0,NULL,120.0,180.0,NULL
Marc Oliver Kempf,VfB Stuttgart,Innenverteidiger,23.0,24.0,0.0,0.0,2.0,Deutschland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.0
Aleksandar Dragovic,Bayer 04 Leverkusen,Innenverteidiger,18.0,28.0,0.0,0.0,2.0,Österreich & Serbien,1443.0,3.0,26.0,NULL,NULL,NULL,11.0,NULL,11.0,NULL,NULL,NULL,NULL,NULL,NULL,63.0,NULL,NULL,NULL,28.0,55.0,NULL,978.0,1087.0,NULL,11.0,21.0,NULL,51.0,93.0,9.0
Federico Palacios,1.FC Nürnberg,Mittelstürmer,17.0,24.0,0.0,0.0,2.0,Deutschland & Spanien,1022.0,NULL,10.0,NULL,NULL,NULL,10.0,34.0,9.0,NULL,10.0,22.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.0,24.0,NULL,243.0,298.0,NULL,10.0,29.0,6.0,48.0,115.0,NULL
Florent Muslija,Hannover 96,Offensives Mittelfeld,17.0,20.0,0.0,0.0,2.0,Deutschland & Kosovo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dan-Axel Zagadou,Borussia Dortmund,Innenverteidiger,17.0,19.0,0.0,0.0,2.0,Frankreich & Elfenbeinküste,1361.0,3.0,25.0,NULL,NULL,NULL,10.0,NULL,13.0,NULL,12.0,12.0,2.0,NULL,NULL,69.0,NULL,NULL,NULL,48.0,69.0,NULL,918.0,1046.0,10.0,10.0,14.0,NULL,76.0,115.0,28.0
Felipe,Hannover 96,Innenverteidiger,17.0,31.0,0.0,0.0,2.0,Brasilien & Italien,1173.0,NULL,37.0,NULL,NULL,NULL,15.0,NULL,17.0,NULL,NULL,NULL,NULL,NULL,NULL,70.0,NULL,NULL,NULL,30.0,55.0,NULL,370.0,497.0,10.0,15.0,30.0,NULL,72.0,124.0,NULL
Ahmed Kutucu,FC Schalke 04,Mittelstürmer,13.0,19.0,0.0,0.0,2.0,Türkei & Deutschland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.5
Roland Sallai,SC Freiburg,Linksaußen,10.0,21.0,0.0,0.0,2.0,Ungarn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.5
Josh Sargent,SV Werder Bremen,Mittelstürmer,10.0,19.0,0.0,0.0,2.0,Vereinigte Staaten,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.0
Josip Drmic,Borussia Mönchengladbach,Mittelstürmer,5.0,26.0,0.0,0.0,2.0,Schweiz & Kroatien,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kevin Stöger,Fortuna Düsseldorf,Offensives Mittelfeld,25.0,25.0,7.0,0.0,1.0,Österreich,2255.0,10.0,29.0,NULL,NULL,NULL,34.0,42.0,47.0,NULL,28.0,45.0,1.0,NULL,NULL,18.0,11.0,NULL,NULL,NULL,NULL,NULL,1198.0,1456.0,33.0,34.0,100.0,54.0,153.0,290.0,5.0
Nico Schulz,TSG 1899 Hoffenheim,Linker Verteidiger,30.0,26.0,6.0,0.0,1.0,Deutschland,2711.0,8.0,25.0,NULL,NULL,NULL,20.0,86.0,30.0,NULL,51.0,115.0,NULL,NULL,NULL,29.0,13.0,NULL,NULL,9.0,27.0,NULL,1166.0,1555.0,30.0,20.0,54.0,60.0,114.0,268.0,25.0
Lukasz Piszczek,Borussia Dortmund,Rechter Verteidiger,20.0,33.0,6.0,0.0,1.0,Polen,1876.0,4.0,42.0,NULL,NULL,NULL,36.0,24.0,16.0,NULL,8.0,25.0,NULL,NULL,NULL,59.0,3.0,NULL,NULL,59.0,90.0,NULL,1079.0,1330.0,12.0,36.0,74.0,20.0,134.0,222.0,NULL
Ludwig Augustinsson,SV Werder Bremen,Linker Verteidiger,34.0,25.0,5.0,0.0,1.0,Schweden,3237.0,6.0,36.0,NULL,NULL,NULL,31.0,34.0,41.0,NULL,11.0,31.0,2.0,NULL,NULL,72.0,3.0,NULL,NULL,63.0,130.0,NULL,1546.0,1967.0,22.0,31.0,67.0,26.0,154.0,308.0,12.0
Bastian Oczipka,FC Schalke 04,Linker Verteidiger,21.0,30.0,5.0,0.0,1.0,Deutschland,2015.0,NULL,25.0,NULL,NULL,NULL,27.0,51.0,16.0,NULL,23.0,53.0,2.0,NULL,NULL,21.0,6.0,NULL,NULL,11.0,23.0,NULL,808.0,1076.0,13.0,27.0,45.0,45.0,97.0,180.0,4.0
Mitchell Weiser,Bayer 04 Leverkusen,Rechter Verteidiger,30.0,25.0,4.0,0.0,1.0,Deutschland,2256.0,7.0,27.0,NULL,NULL,NULL,37.0,64.0,32.0,NULL,27.0,61.0,NULL,NULL,NULL,39.0,4.0,NULL,NULL,21.0,66.0,NULL,1267.0,1596.0,13.0,37.0,87.0,28.0,148.0,311.0,14.0
Janik Haberer,SC Freiburg,Zentrales Mittelfeld,27.0,25.0,4.0,0.0,1.0,Deutschland,2497.0,4.0,37.0,NULL,NULL,NULL,47.0,58.0,46.0,NULL,22.0,38.0,NULL,NULL,NULL,49.0,4.0,NULL,NULL,52.0,106.0,NULL,841.0,1074.0,26.0,47.0,109.0,45.0,189.0,386.0,10.0
Weston McKennie,FC Schalke 04,Zentrales Mittelfeld,24.0,20.0,4.0,0.0,1.0,Vereinigte Staaten,1872.0,9.0,35.0,NULL,NULL,NULL,14.0,38.0,33.0,NULL,16.0,31.0,1.0,NULL,NULL,43.0,3.0,NULL,NULL,86.0,138.0,NULL,488.0,710.0,25.0,14.0,53.0,18.0,145.0,290.0,20.0
Lars Bender,Bayer 04 Leverkusen,Defensives Mittelfeld,20.0,30.0,4.0,0.0,1.0,Deutschland,1428.0,5.0,22.0,NULL,NULL,NULL,30.0,11.0,27.0,NULL,10.0,16.0,NULL,NULL,NULL,23.0,NULL,NULL,NULL,35.0,71.0,NULL,768.0,931.0,16.0,30.0,56.0,13.0,114.0,202.0,9.0
Matthias Zimmermann,Fortuna Düsseldorf,Rechter Verteidiger,34.0,26.0,3.0,0.0,1.0,Deutschland,3243.0,4.0,71.0,NULL,NULL,NULL,63.0,29.0,49.0,NULL,19.0,35.0,2.0,NULL,NULL,79.0,5.0,NULL,NULL,33.0,69.0,NULL,1231.0,1643.0,15.0,63.0,141.0,20.0,177.0,334.0,5.0
Miiko Albornoz,Hannover 96,Linker Verteidiger,22.0,28.0,3.0,0.0,1.0,Chile & Schweden,1779.0,4.0,16.0,NULL,NULL,NULL,26.0,39.0,34.0,NULL,8.0,29.0,1.0,NULL,NULL,31.0,3.0,NULL,NULL,8.0,31.0,NULL,716.0,958.0,11.0,26.0,71.0,17.0,97.0,218.0,NULL
Leonardo Bittencourt,TSG 1899 Hoffenheim,Offensives Mittelfeld,21.0,25.0,3.0,0.0,1.0,Deutschland & Brasilien,1146.0,9.0,13.0,NULL,NULL,NULL,26.0,30.0,17.0,NULL,9.0,25.0,NULL,NULL,NULL,NULL,2.0,NULL,NULL,5.0,19.0,NULL,354.0,472.0,23.0,26.0,63.0,20.0,83.0,167.0,7.0
Linton Maina,Hannover 96,Rechtes Mittelfeld,20.0,19.0,3.0,0.0,1.0,Deutschland,1460.0,3.0,14.0,NULL,NULL,NULL,17.0,45.0,9.0,NULL,19.0,47.0,NULL,NULL,NULL,NULL,4.0,NULL,NULL,2.0,20.0,NULL,371.0,501.0,21.0,17.0,41.0,16.0,64.0,148.0,7.0
Takashi Usami,Fortuna Düsseldorf,Linksaußen,19.0,27.0,3.0,0.0,1.0,Japan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ermin Bicakcic,TSG 1899 Hoffenheim,Innenverteidiger,25.0,29.0,2.0,0.0,1.0,Bosnien-Herzegowina & Deutschland,1920.0,5.0,61.0,NULL,NULL,NULL,19.0,NULL,18.0,NULL,NULL,NULL,1.0,NULL,NULL,76.0,NULL,NULL,NULL,53.0,84.0,NULL,1031.0,1171.0,10.0,19.0,41.0,NULL,101.0,167.0,4.0
Maximilian Mittelstädt,Hertha BSC,Linker Verteidiger,25.0,22.0,2.0,0.0,1.0,Deutschland,1929.0,7.0,45.0,NULL,NULL,NULL,37.0,41.0,14.0,NULL,23.0,39.0,NULL,NULL,NULL,51.0,NULL,NULL,NULL,42.0,66.0,NULL,650.0,898.0,23.0,37.0,86.0,20.0,147.0,251.0,11.0
Virgil Misidjan,1.FC Nürnberg,Rechtsaußen,23.0,25.0,2.0,0.0,1.0,Niederlande & Suriname,1624.0,8.0,9.0,NULL,NULL,NULL,13.0,114.0,35.0,NULL,42.0,112.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.0,42.0,NULL,270.0,396.0,23.0,13.0,43.0,8.0,134.0,328.0,NULL
Marvin Plattenhardt,Hertha BSC,Linker Verteidiger,22.0,27.0,2.0,0.0,1.0,Deutschland,2040.0,NULL,7.0,NULL,NULL,NULL,22.0,24.0,25.0,NULL,8.0,19.0,NULL,NULL,NULL,45.0,3.0,NULL,NULL,11.0,29.0,NULL,824.0,1129.0,11.0,22.0,35.0,32.0,70.0,144.0,10.0
Yunus Malli,VfL Wolfsburg,Offensives Mittelfeld,21.0,27.0,2.0,1.0,1.0,Türkei & Deutschland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.0
Jean Zimmer,Fortuna Düsseldorf,Rechter Verteidiger,18.0,25.0,2.0,0.0,1.0,Deutschland,1505.0,3.0,13.0,NULL,NULL,NULL,10.0,35.0,10.0,NULL,7.0,29.0,1.0,NULL,NULL,25.0,3.0,NULL,NULL,NULL,NULL,NULL,416.0,601.0,9.0,10.0,25.0,32.0,50.0,110.0,NULL
Amine Harit,FC Schalke 04,Offensives Mittelfeld,18.0,21.0,2.0,0.0,1.0,Marokko & Frankreich,1152.0,5.0,9.0,NULL,NULL,NULL,8.0,56.0,9.0,NULL,35.0,52.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.0,23.0,NULL,345.0,434.0,12.0,8.0,30.0,21.0,107.0,201.0,10.0
Dominique Heintz,SC Freiburg,Innenverteidiger,34.0,25.0,1.0,0.0,1.0,Deutschland,3266.0,4.0,46.0,NULL,NULL,NULL,23.0,17.0,30.0,NULL,21.0,28.0,NULL,NULL,NULL,210.0,NULL,NULL,NULL,59.0,110.0,NULL,1358.0,1662.0,10.0,23.0,59.0,7.0,135.0,247.0,7.5
Moussa Niakhaté,1.FSV Mainz 05,Innenverteidiger,33.0,23.0,1.0,0.0,1.0,Frankreich & Mali,2975.0,3.0,46.0,NULL,NULL,NULL,31.0,NULL,36.0,NULL,8.0,10.0,1.0,NULL,NULL,134.0,NULL,NULL,NULL,72.0,118.0,NULL,1261.0,1533.0,10.0,31.0,63.0,7.0,149.0,249.0,14.0
Oscar Wendt,Borussia Mönchengladbach,Linker Verteidiger,32.0,33.0,1.0,0.0,1.0,Schweden,2908.0,5.0,21.0,NULL,NULL,NULL,34.0,16.0,25.0,NULL,7.0,17.0,NULL,NULL,NULL,62.0,3.0,NULL,NULL,25.0,60.0,NULL,1475.0,1856.0,8.0,34.0,67.0,27.0,95.0,190.0,NULL
Konrad Laimer,RasenBallsport Leipzig,Zentrales Mittelfeld,29.0,21.0,1.0,0.0,1.0,Österreich,1972.0,5.0,31.0,NULL,NULL,NULL,39.0,67.0,40.0,NULL,31.0,58.0,NULL,NULL,NULL,19.0,5.0,NULL,NULL,20.0,49.0,NULL,578.0,817.0,14.0,39.0,123.0,19.0,136.0,324.0,17.0
Ibrahima Konaté,RasenBallsport Leipzig,Innenverteidiger,28.0,19.0,1.0,0.0,1.0,Frankreich,2581.0,4.0,58.0,NULL,NULL,NULL,32.0,14.0,37.0,NULL,22.0,26.0,NULL,NULL,NULL,121.0,NULL,NULL,NULL,97.0,135.0,NULL,789.0,1037.0,12.0,32.0,56.0,NULL,189.0,289.0,45.0
Abdou Diallo,Borussia Dortmund,Innenverteidiger,28.0,23.0,1.0,0.0,1.0,Frankreich & Senegal,2554.0,4.0,27.0,NULL,NULL,NULL,21.0,34.0,21.0,NULL,40.0,58.0,1.0,NULL,NULL,85.0,NULL,NULL,NULL,51.0,90.0,NULL,1731.0,1957.0,10.0,21.0,41.0,10.0,140.0,238.0,35.0
Evan N'Dicka,Eintracht Frankfurt,Innenverteidiger,27.0,19.0,1.0,0.0,1.0,Frankreich & Kamerun,2483.0,NULL,32.0,NULL,NULL,NULL,27.0,19.0,27.0,NULL,5.0,13.0,NULL,NULL,NULL,113.0,NULL,NULL,NULL,71.0,122.0,NULL,882.0,1113.0,13.0,27.0,63.0,NULL,125.0,242.0,25.0
Walace,Hannover 96,Defensives Mittelfeld,26.0,24.0,1.0,0.0,1.0,Brasilien,2138.0,6.0,46.0,NULL,NULL,NULL,22.0,53.0,31.0,NULL,23.0,44.0,1.0,NULL,NULL,36.0,NULL,NULL,NULL,54.0,92.0,NULL,914.0,1076.0,19.0,22.0,83.0,12.0,152.0,308.0,8.5
Marvin Bakalorz,Hannover 96,Zentrales Mittelfeld,25.0,29.0,1.0,0.0,1.0,Deutschland,1590.0,5.0,27.0,NULL,NULL,NULL,10.0,36.0,22.0,NULL,10.0,28.0,NULL,NULL,NULL,45.0,NULL,NULL,NULL,30.0,54.0,NULL,300.0,403.0,12.0,10.0,47.0,8.0,82.0,192.0,NULL
Alfredo Morales,Fortuna Düsseldorf,Zentrales Mittelfeld,23.0,29.0,1.0,0.0,1.0,Vereinigte Staaten & Deutschland,1653.0,9.0,25.0,NULL,NULL,NULL,18.0,24.0,43.0,NULL,3.0,12.0,NULL,NULL,NULL,29.0,2.0,NULL,NULL,79.0,156.0,NULL,504.0,678.0,19.0,18.0,51.0,7.0,130.0,287.0,NULL
Manuel Gulde,SC Freiburg,Innenverteidiger,21.0,28.0,1.0,0.0,1.0,Deutschland,1840.0,NULL,24.0,NULL,NULL,NULL,17.0,NULL,9.0,NULL,NULL,NULL,NULL,NULL,NULL,85.0,NULL,NULL,NULL,30.0,52.0,NULL,719.0,876.0,NULL,17.0,29.0,NULL,76.0,113.0,4.0
Mats Hummels,FC Bayern München,Innenverteidiger,21.0,30.0,1.0,0.0,1.0,Deutschland,1873.0,5.0,36.0,NULL,NULL,NULL,17.0,NULL,10.0,NULL,9.0,11.0,1.0,NULL,NULL,48.0,2.0,NULL,NULL,83.0,121.0,NULL,1559.0,1741.0,19.0,17.0,42.0,13.0,128.0,195.0,35.0
Nuri Sahin,SV Werder Bremen,Defensives Mittelfeld,20.0,30.0,1.0,0.0,1.0,Türkei & Deutschland,1545.0,3.0,36.0,NULL,NULL,NULL,33.0,16.0,28.0,NULL,8.0,12.0,NULL,NULL,NULL,39.0,NULL,NULL,NULL,28.0,54.0,NULL,936.0,1117.0,12.0,33.0,93.0,16.0,103.0,206.0,NULL
Nordi Mukiele,RasenBallsport Leipzig,Rechter Verteidiger,19.0,21.0,1.0,0.0,1.0,Frankreich & DR Kongo,1300.0,3.0,24.0,NULL,NULL,NULL,21.0,26.0,19.0,NULL,19.0,32.0,NULL,NULL,NULL,34.0,3.0,NULL,NULL,36.0,64.0,NULL,517.0,717.0,8.0,21.0,39.0,11.0,113.0,188.0,15.0
Erik Thommy,VfB Stuttgart,Linkes Mittelfeld,19.0,24.0,1.0,0.0,1.0,Deutschland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Maximilian Philipp,Borussia Dortmund,Hängende Spitze,18.0,25.0,1.0,0.0,1.0,Deutschland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.0
Kevin Danso,FC Augsburg,Innenverteidiger,18.0,20.0,1.0,0.0,1.0,Österreich,1346.0,6.0,19.0,NULL,NULL,NULL,14.0,10.0,16.0,NULL,NULL,NULL,NULL,NULL,NULL,72.0,NULL,NULL,NULL,45.0,74.0,NULL,454.0,623.0,11.0,14.0,28.0,NULL,86.0,144.0,8.0
Fabian Johnson,Borussia Mönchengladbach,Linksaußen,18.0,31.0,1.0,0.0,1.0,Vereinigte Staaten & Deutschland,1082.0,NULL,11.0,NULL,NULL,NULL,NULL,13.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.0,NULL,NULL,NULL,7.0,24.0,NULL,446.0,559.0,NULL,5.0,14.0,NULL,34.0,70.0,NULL
Renato Sanches,FC Bayern München,Zentrales Mittelfeld,17.0,21.0,1.0,0.0,1.0,Portugal & Sao Tome und Principe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.0
Marvin Ducksch,Fortuna Düsseldorf,Mittelstürmer,16.0,25.0,1.0,0.0,1.0,Deutschland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Törles Knöll,1.FC Nürnberg,Mittelstürmer,16.0,21.0,1.0,0.0,1.0,Deutschland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rafinha,FC Bayern München,Rechter Verteidiger,16.0,33.0,1.0,0.0,1.0,Brasilien & Deutschland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alessandro Schöpf,FC Schalke 04,Rechtes Mittelfeld,15.0,24.0,1.0,0.0,1.0,Österreich,1093.0,3.0,9.0,NULL,NULL,NULL,17.0,37.0,28.0,NULL,16.0,32.0,NULL,NULL,NULL,NULL,2.0,NULL,NULL,NULL,NULL,NULL,380.0,476.0,18.0,17.0,42.0,14.0,54.0,146.0,5.0
