Name,Verein,Position,Einsatz,Alter,Vorlagen,Elfmetertor,Tore,Nationalitaet,SpielMinuten,ShotOnTarget,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter,AbgewehrteBaelle,Balleroberungen,BallVerluste,Fouls,CleanSheet,SuccessfulDribblings,TotalDribblings,ErrorGegentor,FlankenGeblockt,GesamteFlanken,GeklaerteBaelle,GrosschancenKreiert,GrossChancenVereitelt,GesamteChancen,GewonneneLuftkaempfe,GesamteLuftkaempfe,Paraden,PassCompleted,TotalPass,TotalShots,SuccessfulTackles,TotalTackles,TorschussVorlagen,GewonneneZweikaempfe,GesamteZweikaempfe,Value
Ante Rebic,Eintracht Frankfurt,Hängende Spitze,28.0,25.0,4.0,0.0,9.0,Kroatien,2098.0,28.0,9.0,NULL,NULL,NULL,7.0,136.0,47.0,NULL,45.0,106.0,NULL,NULL,NULL,NULL,8.0,NULL,NULL,37.0,91.0,NULL,293.0,543.0,61.0,7.0,27.0,34.0,123.0,366.0,40.0
Luca Waldschmidt,SC Freiburg,Mittelstürmer,30.0,22.0,3.0,3.0,9.0,Deutschland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.0
Lucas Alario,Bayer 04 Leverkusen,Mittelstürmer,27.0,26.0,3.0,0.0,9.0,Argentinien & Italien,1375.0,16.0,NULL,NULL,NULL,NULL,8.0,34.0,23.0,NULL,5.0,16.0,NULL,NULL,NULL,12.0,NULL,NULL,NULL,38.0,110.0,NULL,307.0,412.0,42.0,8.0,24.0,15.0,82.0,218.0,17.0
Leon Goretzka,FC Bayern München,Zentrales Mittelfeld,30.0,24.0,5.0,0.0,8.0,Deutschland,2158.0,22.0,26.0,NULL,NULL,NULL,22.0,25.0,28.0,NULL,14.0,23.0,1.0,NULL,NULL,14.0,2.0,NULL,NULL,37.0,87.0,NULL,1023.0,1175.0,56.0,22.0,64.0,16.0,111.0,235.0,50.0
Salomon Kalou,Hertha BSC,Linksaußen,30.0,33.0,3.0,3.0,8.0,Elfenbeinküste,2429.0,17.0,NULL,NULL,NULL,NULL,11.0,89.0,29.0,NULL,54.0,83.0,NULL,NULL,NULL,22.0,9.0,NULL,NULL,38.0,112.0,NULL,508.0,708.0,47.0,11.0,35.0,28.0,132.0,338.0,NULL
Julian Brandt,Bayer 04 Leverkusen,Linksaußen,33.0,23.0,14.0,0.0,7.0,Deutschland,2823.0,25.0,16.0,NULL,NULL,NULL,17.0,101.0,13.0,NULL,55.0,107.0,1.0,NULL,NULL,NULL,13.0,NULL,NULL,27.0,63.0,NULL,1437.0,1868.0,65.0,17.0,61.0,85.0,131.0,313.0,50.0
Joelinton,TSG 1899 Hoffenheim,Mittelstürmer,28.0,22.0,7.0,0.0,7.0,Brasilien,2268.0,24.0,14.0,NULL,NULL,NULL,24.0,110.0,56.0,NULL,41.0,90.0,NULL,NULL,NULL,NULL,9.0,NULL,NULL,61.0,153.0,NULL,560.0,707.0,56.0,24.0,57.0,37.0,166.0,439.0,35.0
Mario Götze,Borussia Dortmund,Offensives Mittelfeld,26.0,26.0,7.0,0.0,7.0,Deutschland,1781.0,16.0,8.0,NULL,NULL,NULL,19.0,74.0,20.0,NULL,27.0,60.0,1.0,NULL,NULL,NULL,11.0,NULL,NULL,8.0,39.0,NULL,720.0,900.0,28.0,19.0,47.0,39.0,88.0,233.0,25.0
Vincenzo Grifo,Spiel für mehrere Vereine,Linksaußen,23.0,26.0,6.0,2.0,7.0,Italien & Deutschland,1868.0,17.0,NULL,NULL,NULL,NULL,17.0,50.0,13.0,NULL,34.0,56.0,NULL,NULL,NULL,15.0,2.0,NULL,NULL,NULL,NULL,NULL,700.0,951.0,57.0,17.0,50.0,45.0,90.0,180.0,9.0
Daniel Caligiuri,FC Schalke 04,Rechtes Mittelfeld,31.0,31.0,5.0,4.0,7.0,Italien & Deutschland,2948.0,14.0,48.0,NULL,NULL,NULL,55.0,88.0,30.0,NULL,61.0,106.0,1.0,NULL,NULL,64.0,6.0,NULL,NULL,39.0,77.0,NULL,1098.0,1638.0,50.0,55.0,154.0,59.0,231.0,445.0,6.5
Rouwen Hennings,Fortuna Düsseldorf,Mittelstürmer,29.0,31.0,5.0,1.0,7.0,Deutschland,1956.0,22.0,NULL,NULL,NULL,NULL,11.0,23.0,23.0,NULL,4.0,14.0,NULL,NULL,NULL,19.0,5.0,NULL,NULL,52.0,129.0,NULL,294.0,450.0,59.0,11.0,25.0,27.0,92.0,225.0,NULL
James Rodríguez,FC Bayern München,Offensives Mittelfeld,20.0,27.0,4.0,0.0,7.0,Kolumbien & Spanien,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50.0
