Name,Verein,Position,Einsatz,SpielMinuten,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter,AbgewehrteBaelle,ShotOnTarget,Balleroberungen,BallVerluste,Fouls,Clean Sheet,SuccessfulDribblings,TotalDribblings,ErrorGegentor),FlankenGeblockt,GesamteFlanken,GeklaerteBaelle,GrosschancenKreiert,GrossChancenVereitelt,GesamteChancen,GewonneneLuftkaempfe,GesamteLuftkaempfe,Alter,Vorlagen,Elfmetertor,Tore,Paraden,PassCompleted,TotalPass,TotalShots,SuccessfulTackles,TotalTackles
Patrick Erras,1. FC Nürnberg,Defensives Mittelfeld,19.0,1317.0,23.0,,,,,11.0,,9.0,,,,,,,44.0,,,,46.0,68.0,,,,,,373.0,467.0,8.0,11.0,27.0
Nicolas Höfler,SC Freiburg,Defensives Mittelfeld,18.0,1719.0,30.0,,,,,22.0,23.0,26.0,,10.0,19.0,,,,38.0,,,,23.0,45.0,,,,,,760.0,882.0,12.0,22.0,67.0
Thiago,FC Bayern München,Zentrales Mittelfeld,30.0,2544.0,44.0,,,,,67.0,40.0,52.0,,54.0,66.0,1.0,,,18.0,5.0,,,34.0,73.0,28.0,6.0,0.0,2.0,,2316.0,2576.0,23.0,67.0,112.0
Kevin Möhwald,SV Werder Bremen,Zentrales Mittelfeld,23.0,984.0,17.0,,,,,10.0,20.0,15.0,,9.0,18.0,,,,13.0,,,,11.0,26.0,25.0,1.0,0.0,3.0,,406.0,506.0,20.0,10.0,31.0
Ewerton,1. FC Nürnberg,Innenverteidiger,18.0,1449.0,25.0,,,,,20.0,,17.0,,10.0,11.0,1.0,,,106.0,,,,58.0,82.0,,,,,,508.0,604.0,9.0,20.0,30.0
David Abraham,Eintracht Frankfurt,Innenverteidiger,17.0,1510.0,26.0,,,,,14.0,,11.0,,,,,,,60.0,,,,40.0,61.0,,,,,,512.0,666.0,,14.0,35.0
Willi Orban,RB Leipzig,Innenverteidiger,24.0,2167.0,37.0,,,,,26.0,,27.0,,,,,,,139.0,,,,111.0,181.0,26.0,0.0,0.0,4.0,,783.0,999.0,27.0,26.0,62.0
Marvin Bakalorz,Hannover 96,Zentrales Mittelfeld,25.0,1590.0,27.0,,,,,10.0,36.0,22.0,,10.0,28.0,,,,45.0,,,,30.0,54.0,29.0,1.0,0.0,1.0,,300.0,403.0,12.0,10.0,47.0
Benjamin Stambouli,FC Schalke 04,Innenverteidiger,21.0,1902.0,32.0,,,,,31.0,11.0,23.0,,8.0,11.0,2.0,,,60.0,,,,18.0,39.0,,,,,,759.0,994.0,,31.0,72.0
Gonzalo Castro,VfB Stuttgart,Zentrales Mittelfeld,25.0,1786.0,30.0,,,,,30.0,27.0,28.0,,6.0,13.0,1.0,,,20.0,3.0,,,12.0,36.0,31.0,4.0,0.0,2.0,,664.0,906.0,13.0,30.0,73.0
Christoph Kramer,B. Mönchengladbach,Defensives Mittelfeld,18.0,1207.0,20.0,,,,,22.0,23.0,24.0,,9.0,16.0,,,,22.0,2.0,,,15.0,42.0,28.0,1.0,0.0,2.0,,651.0,736.0,8.0,22.0,66.0
Daniel Caligiuri,FC Schalke 04,Rechtsverteidiger,31.0,2948.0,48.0,,,,,55.0,88.0,30.0,,61.0,106.0,1.0,,,64.0,6.0,,,39.0,77.0,31.0,5.0,4.0,7.0,,1098.0,1638.0,50.0,55.0,154.0
