Name,Verein,Position,Einsatz,SpielMinuten,Balleroberungen
Mitchell Weiser,Bayer 04 Leverkusen,Rechtsverteidiger,30.0,2256.0,11.0
David Alaba,FC Bayern München,Linksverteidiger,31.0,2688.0,13.0
Mats Hummels,FC Bayern München,Innenverteidiger,21.0,1873.0,9.0
Davy Klaassen,SV Werder Bremen,Zentrales Mittelfeld,33.0,2985.0,14.0
Eduard Löwen,1. FC Nürnberg,Zentrales Mittelfeld,22.0,1717.0,8.0
Marvin Bakalorz,Hannover 96,Zentrales Mittelfeld,25.0,1590.0,7.0
Javier Martínez,FC Bayern München,Defensives Mittelfeld,21.0,1393.0,6.0
Maximilian Eggestein,SV Werder Bremen,Zentrales Mittelfeld,34.0,3267.0,14.0
Florian Grillitsch,TSG 1899 Hoffenheim,Zentrales Mittelfeld,30.0,2571.0,11.0
Marcin Kaminski,Fortuna Düsseldorf,Innenverteidiger,27.0,2581.0,11.0
Lars Bender,Bayer 04 Leverkusen,Rechtsverteidiger,20.0,1428.0,6.0
Julian Baumgartlinger,Bayer 04 Leverkusen,Defensives Mittelfeld,21.0,1667.0,7.0
Christoph Kramer,B. Mönchengladbach,Defensives Mittelfeld,18.0,1207.0,5.0
Ja-cheol Koo,FC Augsburg,Offensives Mittelfeld,26.0,1744.0,7.0
Ridle Baku,1. FSV Mainz 05,Zentrales Mittelfeld,15.0,997.0,4.0
Javairo Dilrosun,Hertha BSC,Linke Außenbahn,17.0,997.0,4.0
Florian Niederlechner,SC Freiburg,Stürmer,24.0,1006.0,4.0
Mathew Leckie,Hertha BSC,Rechte Außenbahn,18.0,1017.0,4.0
Gonzalo Castro,VfB Stuttgart,Zentrales Mittelfeld,25.0,1786.0,7.0
Pascal Stenzel,SC Freiburg,Rechtsverteidiger,21.0,1542.0,6.0
Gelson Fernandes,Eintracht Frankfurt,Defensives Mittelfeld,28.0,2348.0,9.0
Suat Serdar,FC Schalke 04,Zentrales Mittelfeld,26.0,1831.0,7.0
Michael Gregoritsch,FC Augsburg,Offensives Mittelfeld,32.0,2633.0,10.0
Christian Gentner,VfB Stuttgart,Zentrales Mittelfeld,29.0,2122.0,8.0
Thomas Delaney,Borussia Dortmund,Zentrales Mittelfeld,30.0,2427.0,9.0
Marko Grujic,Hertha BSC,Zentrales Mittelfeld,22.0,1907.0,7.0
Daniel Ginczek,VfL Wolfsburg,Stürmer,24.0,1373.0,5.0
Adam Bodzek,Fortuna Düsseldorf,Defensives Mittelfeld,21.0,1678.0,6.0
Jonathan de Guzmán,Eintracht Frankfurt,Zentrales Mittelfeld,28.0,1678.0,6.0
Yuya Osako,SV Werder Bremen,Stürmer,21.0,1435.0,5.0
Bastian Oczipka,FC Schalke 04,Linksverteidiger,21.0,2015.0,7.0
Tim Leibold,1. FC Nürnberg,Linksverteidiger,32.0,2934.0,10.0
Patrick Herrmann,B. Mönchengladbach,Rechte Außenbahn,24.0,1184.0,4.0
Nico Schulz,TSG 1899 Hoffenheim,Linksverteidiger,30.0,2711.0,9.0
Gian-Luca Waldschmidt,SC Freiburg,Stürmer,30.0,1830.0,6.0
Pirmin Schwegler,Hannover 96,Defensives Mittelfeld,27.0,2182.0,7.0
Kevin Stöger,Fortuna Düsseldorf,Offensives Mittelfeld,25.0,2255.0,7.0
Yannick Gerhardt,VfL Wolfsburg,Zentrales Mittelfeld,30.0,2612.0,8.0
Konrad Laimer,RB Leipzig,Zentrales Mittelfeld,29.0,1972.0,6.0
