Name Verein Position Einsatz SpielMinuten "Geklaerte Baelle"
"Lars Bender" "Bayer 04 Leverkusen" Rechtsverteidiger 20 1428 23
"Dennis Aogo" "VfB Stuttgart" Linksverteidiger 15 1069 17
"Nils Petersen" "SC Freiburg" Stürmer 24 2087 32
"Axel Witsel" "Borussia Dortmund" "Defensives Mittelfeld" 33 3093 47
"Arne Maier" "Hertha BSC" "Defensives Mittelfeld" 24 2187 33
"Jérôme Gondorf" "SC Freiburg" "Zentrales Mittelfeld" 25 1404 21
"Maximilian Arnold" "VfL Wolfsburg" "Zentrales Mittelfeld" 33 3047 44
"Philipp Max" "FC Augsburg" Linksverteidiger 30 2732 39
"Jérôme Roussillon" "VfL Wolfsburg" Linksverteidiger 28 2617 37
"Dominik Kohr" "Bayer 04 Leverkusen" "Zentrales Mittelfeld" 18 1065 15
"Mario Gomez" "VfB Stuttgart" Stürmer 31 2344 33
"Danny Latza" "1. FSV Mainz 05" "Defensives Mittelfeld" 24 1929 27
"Marcel Sobottka" "Fortuna Düsseldorf" "Defensives Mittelfeld" 14 1004 14
"Daniel Ginczek" "VfL Wolfsburg" Stürmer 24 1373 19
"Davy Klaassen" "SV Werder Bremen" "Zentrales Mittelfeld" 33 2985 41
"Kevin Möhwald" "SV Werder Bremen" "Zentrales Mittelfeld" 23 984 13
"Tobias Strobl" "B. Mönchengladbach" "Defensives Mittelfeld" 29 2431 32
"Elvis Rexhbecaj" "VfL Wolfsburg" "Defensives Mittelfeld" 24 1225 16
"Lucas Höler" "SC Freiburg" Stürmer 26 1083 14
"Mathew Leckie" "Hertha BSC" "Rechte Außenbahn" 18 1017 13
"André Hahn" "FC Augsburg" "Rechte Außenbahn" 28 2207 28
"Mike Frantz" "SC Freiburg" "Zentrales Mittelfeld" 31 2302 29
"Luka Jovic" "Eintracht Frankfurt" Stürmer 32 2382 30
"Marco Reus" "Borussia Dortmund" "Offensives Mittelfeld" 27 2463 31
"Niclas Füllkrug" "Hannover 96" Stürmer 14 1195 15
