Name,Verein,Position,Einsatz,SpielMinuten,Fouls
Ishak Belfodil,TSG 1899 Hoffenheim,Stürmer,28,1982,25
Johannes Eggestein,SV Werder Bremen,Stürmer,23,1194,15
Willi Orban,RB Leipzig,Innenverteidiger,24,2167,27
D. Upamecano,RB Leipzig,Innenverteidiger,15,1369,17
Marvin Plattenhardt,Hertha BSC,Linksverteidiger,22,2040,25
Nicolás González,VfB Stuttgart,Stürmer,30,2288,28
Jean-Philippe Mateta,1. FSV Mainz 05,Stürmer,34,2617,32
Luka Jovic,Eintracht Frankfurt,Stürmer,32,2382,29
Omar Mascarell,FC Schalke 04,Defensives Mittelfeld,14,1073,13
Moussa Niakhaté,1. FSV Mainz 05,Innenverteidiger,33,2975,36
Benjamin Stambouli,FC Schalke 04,Innenverteidiger,21,1902,23
Florian Neuhaus,B. Mönchengladbach,Zentrales Mittelfeld,32,2164,26
Niklas Moisander,SV Werder Bremen,Innenverteidiger,30,2835,34
Alexander Hack,1. FSV Mainz 05,Innenverteidiger,14,1084,13
Lars Stindl,B. Mönchengladbach,Stürmer,21,1585,19
Wout Weghorst,VfL Wolfsburg,Stürmer,34,3098,37
Salomon Kalou,Hertha BSC,Linke Außenbahn,30,2429,29
Renato Steffen,VfL Wolfsburg,Rechte Außenbahn,31,1592,19
Kevin Danso,FC Augsburg,Innenverteidiger,18,1346,16
Kingsley Coman,FC Bayern München,Linke Außenbahn,21,1441,17
Rouwen Hennings,Fortuna Düsseldorf,Stürmer,29,1956,23
Ewerton,1. FC Nürnberg,Innenverteidiger,18,1449,17
Daniel Didavi,VfB Stuttgart,Offensives Mittelfeld,20,1027,12
Julian Baumgartlinger,Bayer 04 Leverkusen,Defensives Mittelfeld,21,1667,19
Mijat Gacinovic,Eintracht Frankfurt,Offensives Mittelfeld,29,1760,20
Pierre Kunde,1. FSV Mainz 05,Zentrales Mittelfeld,29,2028,23
Mikael Ishak,1. FC Nürnberg,Stürmer,29,2030,23
Maximilian Eggestein,SV Werder Bremen,Zentrales Mittelfeld,34,3267,37
Mario Götze,Borussia Dortmund,Offensives Mittelfeld,26,1781,20
Marc-Oliver Kempf,VfB Stuttgart,Innenverteidiger,23,2148,24
Nico Schulz,TSG 1899 Hoffenheim,Linksverteidiger,30,2711,30
Nils Petersen,SC Freiburg,Stürmer,24,2087,23
Kevin Wimmer,Hannover 96,Innenverteidiger,22,1820,20
Theodor Gebre Selassie,SV Werder Bremen,Rechtsverteidiger,32,3018,33
Evan N'Dicka,Eintracht Frankfurt,Innenverteidiger,27,2483,27
Marcel Sabitzer,RB Leipzig,Rechte Außenbahn,30,2492,27
Tin Jedvaj,Bayer 04 Leverkusen,Innenverteidiger,16,1208,13
Jonathan de Guzmán,Eintracht Frankfurt,Zentrales Mittelfeld,28,1678,18
Yannick Gerhardt,VfL Wolfsburg,Zentrales Mittelfeld,30,2612,28
Tobias Strobl,B. Mönchengladbach,Defensives Mittelfeld,29,2431,26
Tim Leibold,1. FC Nürnberg,Linksverteidiger,32,2934,31
Josip Brekalo,VfL Wolfsburg,Linke Außenbahn,25,1515,16
Eduard Löwen,1. FC Nürnberg,Zentrales Mittelfeld,22,1717,18
Robert Bauer,1. FC Nürnberg,Rechtsverteidiger,22,1816,19
Milos Veljkovic,SV Werder Bremen,Innenverteidiger,23,2010,21
Michael Gregoritsch,FC Augsburg,Offensives Mittelfeld,32,2633,27
Daniel Ginczek,VfL Wolfsburg,Stürmer,24,1373,14
Daniel Caligiuri,FC Schalke 04,Rechtsverteidiger,31,2948,30
Danny da Costa,Eintracht Frankfurt,Rechtsverteidiger,34,3253,33
Niklas Stark,Hertha BSC,Innenverteidiger,22,1996,20
Jonas Hofmann,B. Mönchengladbach,Zentrales Mittelfeld,27,2019,20
Sven Bender,Bayer 04 Leverkusen,Innenverteidiger,27,2123,21
Elvis Rexhbecaj,VfL Wolfsburg,Defensives Mittelfeld,24,1225,12
Robin Koch,SC Freiburg,Innenverteidiger,24,2048,20
Kaan Ayhan,Fortuna Düsseldorf,Innenverteidiger,28,2603,25
Salif Sané,FC Schalke 04,Innenverteidiger,30,2824,27
Dan-Axel Zagadou,Borussia Dortmund,Innenverteidiger,17,1361,13
Aarón,1. FSV Mainz 05,Linksverteidiger,33,3069,29
Niko Gießelmann,Fortuna Düsseldorf,Linksverteidiger,30,2764,26
Marcel Halstenberg,RB Leipzig,Linksverteidiger,28,2556,24
Ermin Bicakcic,TSG 1899 Hoffenheim,Innenverteidiger,25,1920,18
Jeffrey Gouweleeuw,FC Augsburg,Innenverteidiger,25,2243,21
Santiago Ascacibar,VfB Stuttgart,Defensives Mittelfeld,27,2574,24
Martin Hinteregger,Eintracht Frankfurt,Innenverteidiger,32,2904,27
Thomas Müller,FC Bayern München,Rechte Außenbahn,32,2483,23
Timo Werner,RB Leipzig,Stürmer,30,2605,24
Dominique Heintz,SC Freiburg,Innenverteidiger,34,3266,30
Christian Günter,SC Freiburg,Linksverteidiger,32,3082,28
Ridle Baku,1. FSV Mainz 05,Zentrales Mittelfeld,15,997,9
Julian Weigl,Borussia Dortmund,Defensives Mittelfeld,18,1567,14
Federico Palacios,1. FC Nürnberg,Stürmer,17,1022,9
Christian Pulisic,Borussia Dortmund,Rechte Außenbahn,20,1030,9
Mike Frantz,SC Freiburg,Zentrales Mittelfeld,31,2302,20
Kevin Vogt,TSG 1899 Hoffenheim,Innenverteidiger,28,2540,22
Javier Martínez,FC Bayern München,Defensives Mittelfeld,21,1393,12
Oscar Wendt,B. Mönchengladbach,Linksverteidiger,32,2908,25
Thorgan Hazard,B. Mönchengladbach,Rechte Außenbahn,33,3035,26
Lukasz Piszczek,Borussia Dortmund,Rechtsverteidiger,20,1876,16
Leon Bailey,Bayer 04 Leverkusen,Linke Außenbahn,29,2018,17
Dennis Aogo,VfB Stuttgart,Linksverteidiger,15,1069,9
Lukas Mühl,1. FC Nürnberg,Innenverteidiger,31,2972,25
Axel Witsel,Borussia Dortmund,Defensives Mittelfeld,33,3093,26
Jérôme Boateng,FC Bayern München,Innenverteidiger,20,1798,15
Joshua Kimmich,FC Bayern München,Rechtsverteidiger,34,3247,27
Filip Kostic,Eintracht Frankfurt,Linke Außenbahn,34,3158,26
Arne Maier,Hertha BSC,Defensives Mittelfeld,24,2187,18
Matthias Ostrzolek,Hannover 96,Linksverteidiger,18,1581,13
Abdou Diallo,Borussia Dortmund,Innenverteidiger,28,2554,21
Emiliano Insúa,VfB Stuttgart,Linksverteidiger,27,2219,18
Javairo Dilrosun,Hertha BSC,Linke Außenbahn,17,997,8
Enrico Valentini,1. FC Nürnberg,Rechtsverteidiger,15,1373,11
Robert Lewandowski,FC Bayern München,Stürmer,33,3129,25
Bastian Oczipka,FC Schalke 04,Linksverteidiger,21,2015,16
Lukas Klostermann,RB Leipzig,Rechtsverteidiger,26,2141,17
Ihlas Bebou,Hannover 96,Rechte Außenbahn,12,1137,9
Valentino Lazaro,Hertha BSC,Rechte Außenbahn,31,2918,23
Jonathan Schmid,FC Augsburg,Rechte Außenbahn,28,2687,21
Amine Harit,FC Schalke 04,Offensives Mittelfeld,18,1152,9
Kai Havertz,Bayer 04 Leverkusen,Offensives Mittelfeld,34,3075,24
Jérôme Roussillon,VfL Wolfsburg,Linksverteidiger,28,2617,20
Waldemar Anton,Hannover 96,Innenverteidiger,34,3278,25
Aleksandar Dragovic,Bayer 04 Leverkusen,Innenverteidiger,18,1443,11
Max Kruse,SV Werder Bremen,Stürmer,32,3018,23
Michael Lang,B. Mönchengladbach,Rechtsverteidiger,17,1319,10
Achraf Hakimi,Borussia Dortmund,Rechtsverteidiger,21,1871,14
David Abraham,Eintracht Frankfurt,Innenverteidiger,17,1510,11
Karim Rekik,Hertha BSC,Innenverteidiger,24,2198,16
Maximilian Mittelstädt,Hertha BSC,Linksverteidiger,25,1929,14
Sebastian Langkamp,SV Werder Bremen,Innenverteidiger,21,1520,11
Sebastian Kerk,1. FC Nürnberg,Linke Außenbahn,21,1246,9
Timo Baumgartl,VfB Stuttgart,Innenverteidiger,18,1709,12
Vincenzo Grifo,SC Freiburg,Linke Außenbahn,23,1868,13
Benjamin Pavard,VfB Stuttgart,Innenverteidiger,29,2759,19
Patrick Erras,1. FC Nürnberg,Defensives Mittelfeld,19,1317,9
Jean Zimmer,Fortuna Düsseldorf,Rechtsverteidiger,18,1505,10
Oliver Sorg,Hannover 96,Rechtsverteidiger,19,1679,11
Matija Nastasic,FC Schalke 04,Innenverteidiger,28,2636,17
Makoto Hasebe,Eintracht Frankfurt,Innenverteidiger,28,2697,17
Linton Maina,Hannover 96,Linke Außenbahn,20,1460,9
Nico Elvedi,B. Mönchengladbach,Innenverteidiger,30,2776,17
Raphaël Guerreiro,Borussia Dortmund,Linksverteidiger,23,1633,10
Niklas Süle,FC Bayern München,Innenverteidiger,31,2831,17
James,FC Bayern München,Offensives Mittelfeld,20,1200,7
Daniel Brosinski,1. FSV Mainz 05,Rechtsverteidiger,26,2343,13
Manuel Akanji,Borussia Dortmund,Innenverteidiger,25,2371,13
Emil Forsberg,RB Leipzig,Linke Außenbahn,20,1305,7
Mats Hummels,FC Bayern München,Innenverteidiger,21,1873,10
Jonathan Tah,Bayer 04 Leverkusen,Innenverteidiger,33,3130,16
John Anthony Brooks,VfL Wolfsburg,Innenverteidiger,29,2798,14
Manuel Gulde,SC Freiburg,Innenverteidiger,21,1840,9
Matthias Ginter,B. Mönchengladbach,Innenverteidiger,27,2522,12
Julian Brandt,Bayer 04 Leverkusen,Linke Außenbahn,33,2823,13
Georg Margreitter,1. FC Nürnberg,Innenverteidiger,27,2206,10
David Alaba,FC Bayern München,Linksverteidiger,31,2688,12
Philipp Max,FC Augsburg,Linksverteidiger,30,2732,12
Robin Knoche,VfL Wolfsburg,Innenverteidiger,32,2986,13
Andrej Kramaric,TSG 1899 Hoffenheim,Stürmer,30,2548,7
Marcin Kaminski,Fortuna Düsseldorf,Innenverteidiger,27,2581,7
