Name Verein Position Einsatz SpielMinuten balleroberungen
"Thorgan Hazard" "B. Mönchengladbach" "Rechte Außenbahn" 33 3035 32
"Sebastian Langkamp" "SV Werder Bremen" Innenverteidiger 21 1520 16
"Moussa Niakhaté" "1. FSV Mainz 05" Innenverteidiger 33 2975 31
"Kevin Danso" "FC Augsburg" Innenverteidiger 18 1346 14
Walace "Hannover 96" "Defensives Mittelfeld" 26 2138 22
"Leon Goretzka" "FC Bayern München" "Zentrales Mittelfeld" 30 2158 22
"Kevin Möhwald" "SV Werder Bremen" "Zentrales Mittelfeld" 23 984 10
"Achraf Hakimi" "Borussia Dortmund" Rechtsverteidiger 21 1871 19
Aarón "1. FSV Mainz 05" Linksverteidiger 33 3069 31
"Serge Gnabry" "FC Bayern München" "Linke Außenbahn" 30 1887 19
"Nils Petersen" "SC Freiburg" Stürmer 24 2087 21
"Denis Zakaria" "B. Mönchengladbach" "Defensives Mittelfeld" 31 2088 21
"Renato Steffen" "VfL Wolfsburg" "Rechte Außenbahn" 31 1592 16
"Javairo Dilrosun" "Hertha BSC" "Linke Außenbahn" 17 997 10
"Karim Rekik" "Hertha BSC" Innenverteidiger 24 2198 22
"Jonas Hofmann" "B. Mönchengladbach" "Zentrales Mittelfeld" 27 2019 20
"Ermin Bicakcic" "TSG 1899 Hoffenheim" Innenverteidiger 25 1920 19
"Adam Zrelák" "1. FC Nürnberg" Stürmer 14 1019 10
"Milot Rashica" "SV Werder Bremen" Stürmer 26 1631 16
"Federico Palacios" "1. FC Nürnberg" Stürmer 17 1022 10
"Marco Reus" "Borussia Dortmund" "Offensives Mittelfeld" 27 2463 24
"Hanno Behrens" "1. FC Nürnberg" "Zentrales Mittelfeld" 30 2795 27
"Jonathan Tah" "Bayer 04 Leverkusen" Innenverteidiger 33 3130 30
"Ludwig Augustinsson" "SV Werder Bremen" Linksverteidiger 34 3237 31
"Niklas Stark" "Hertha BSC" Innenverteidiger 22 1996 19
"Maximilian Arnold" "VfL Wolfsburg" "Zentrales Mittelfeld" 33 3047 29
"Waldemar Anton" "Hannover 96" Innenverteidiger 34 3278 31
"Kevin Wimmer" "Hannover 96" Innenverteidiger 22 1820 17
"Omar Mascarell" "FC Schalke 04" "Defensives Mittelfeld" 14 1073 10
"Nabil Bentaleb" "FC Schalke 04" "Defensives Mittelfeld" 25 1935 18
"Nicolai Müller" "Hannover 96" "Rechte Außenbahn" 21 1185 11
"David Abraham" "Eintracht Frankfurt" Innenverteidiger 17 1510 14
"Thomas Müller" "FC Bayern München" "Rechte Außenbahn" 32 2483 23
"Manuel Gulde" "SC Freiburg" Innenverteidiger 21 1840 17
"Matheus Pereira" "1. FC Nürnberg" "Rechte Außenbahn" 19 1311 12
"Philipp Max" "FC Augsburg" Linksverteidiger 30 2732 25
"Matija Nastasic" "FC Schalke 04" Innenverteidiger 28 2636 24
"Vincenzo Grifo" "SC Freiburg" "Linke Außenbahn" 23 1868 17
"Mats Hummels" "FC Bayern München" Innenverteidiger 21 1873 17
"Tony Jantschke" "B. Mönchengladbach" Rechtsverteidiger 14 993 9
"Josuha Guilavogui" "VfL Wolfsburg" "Defensives Mittelfeld" 19 1666 15
"Kenan Karaman" "Fortuna Düsseldorf" "Linke Außenbahn" 21 1007 9
"Christian Günter" "SC Freiburg" Linksverteidiger 32 3082 27
"Alexander Esswein" "VfB Stuttgart" "Rechte Außenbahn" 17 1303 11
"Manuel Akanji" "Borussia Dortmund" Innenverteidiger 25 2371 20
"Dennis Aogo" "VfB Stuttgart" Linksverteidiger 15 1069 9
"Marc-Oliver Kempf" "VfB Stuttgart" Innenverteidiger 23 2148 18
"Patrick Erras" "1. FC Nürnberg" "Defensives Mittelfeld" 19 1317 11
"Stefan Bell" "1. FSV Mainz 05" Innenverteidiger 25 2396 20
"Jérôme Boateng" "FC Bayern München" Innenverteidiger 20 1798 15
"Joshua Kimmich" "FC Bayern München" Rechtsverteidiger 34 3247 27
"Abdou Diallo" "Borussia Dortmund" Innenverteidiger 28 2554 21
"Lars Stindl" "B. Mönchengladbach" Stürmer 21 1585 13
"Jonathan Schmid" "FC Augsburg" "Rechte Außenbahn" 28 2687 22
"Niklas Süle" "FC Bayern München" Innenverteidiger 31 2831 23
"Niklas Moisander" "SV Werder Bremen" Innenverteidiger 30 2835 23
"Ridle Baku" "1. FSV Mainz 05" "Zentrales Mittelfeld" 15 997 8
"Virgil Misidjan" "1. FC Nürnberg" "Rechte Außenbahn" 23 1624 13
"Ihlas Bebou" "Hannover 96" "Rechte Außenbahn" 12 1137 9
