Name,Verein,Position,Einsatz,Alter,Vorlagen,Elfmetertor,Tore,Nationalitaet
Theodor Gebre Selassie,SV Werder Bremen,Rechter Verteidiger,32.0,32,3,0.0,3.0,Tschechien & Äthiopien
David Alaba,FC Bayern München,Linker Verteidiger,31.0,26,3,0.0,3.0,Österreich
John Anthony Brooks,VfL Wolfsburg,Innenverteidiger,29.0,26,3,0.0,3.0,Vereinigte Staaten & Deutschland
Josip Brekalo,VfL Wolfsburg,Linksaußen,25.0,20,3,0.0,3.0,Kroatien
Eduard Löwen,1.FC Nürnberg,Zentrales Mittelfeld,22.0,22,3,0.0,3.0,Deutschland & Russland
Lars Stindl,Borussia Mönchengladbach,Hängende Spitze,21.0,30,3,0.0,3.0,Deutschland
Yuya Osako,SV Werder Bremen,Mittelstürmer,21.0,29,3,0.0,3.0,Japan
Patrick Herrmann,Borussia Mönchengladbach,Rechtsaußen,24.0,28,2,0.0,3.0,Deutschland
Kenan Karaman,Fortuna Düsseldorf,Linksaußen,21.0,25,2,0.0,3.0,Türkei & Deutschland
Matheus Pereira,1.FC Nürnberg,Rechtsaußen,19.0,22,2,0.0,3.0,Brasilien & Portugal
Nadiem Amiri,TSG 1899 Hoffenheim,Zentrales Mittelfeld,13.0,22,2,0.0,3.0,Deutschland & Afghanistan
Jonathan Tah,Bayer 04 Leverkusen,Innenverteidiger,33.0,23,1,0.0,3.0,Deutschland & Elfenbeinküste
Nabil Bentaleb,FC Schalke 04,Zentrales Mittelfeld,25.0,24,1,3.0,3.0,Algerien & Frankreich
Kevin Möhwald,SV Werder Bremen,Offensives Mittelfeld,23.0,25,1,0.0,3.0,Deutschland
Bobby Wood,Hannover 96,Mittelstürmer,20.0,26,1,0.0,3.0,Vereinigte Staaten
Steven Skrzybski,FC Schalke 04,Rechtsaußen,12.0,26,1,0.0,3.0,Deutschland
Gonçalo Paciência,Eintracht Frankfurt,Mittelstürmer,11.0,24,1,0.0,3.0,Portugal
Jonathas,Hannover 96,Mittelstürmer,10.0,30,1,1.0,3.0,Brasilien
Martin Hinteregger,Spiel für mehrere Vereine,Innenverteidiger,32.0,26,0,0.0,3.0,Österreich
Robin Knoche,VfL Wolfsburg,Innenverteidiger,31.0,26,0,0.0,3.0,Deutschland
Javi Martínez,FC Bayern München,Defensives Mittelfeld,21.0,30,0,0.0,3.0,Spanien
Sergio Córdova,FC Augsburg,Mittelstürmer,20.0,21,0,0.0,3.0,Venezuela
