Name,Verein,Position,Einsatz,SpielMinuten,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter
Axel Witsel,Borussia Dortmund,Defensives Mittelfeld,33.0,3093.0,47.0,,
Alfredo Morales,Fortuna Düsseldorf,Zentrales Mittelfeld,23.0,1653.0,25.0,,
Valentino Lazaro,Hertha BSC,Rechte Außenbahn,31.0,2918.0,44.0,,
Julian Baumgartlinger,Bayer 04 Leverkusen,Defensives Mittelfeld,21.0,1667.0,25.0,,
Achraf Hakimi,Borussia Dortmund,Rechtsverteidiger,21.0,1871.0,28.0,,
Kevin Kampl,RB Leipzig,Zentrales Mittelfeld,27.0,2212.0,33.0,,
Marcel Halstenberg,RB Leipzig,Linksverteidiger,28.0,2556.0,38.0,,
Niklas Süle,FC Bayern München,Innenverteidiger,31.0,2831.0,42.0,,
Janik Haberer,SC Freiburg,Offensives Mittelfeld,27.0,2497.0,37.0,,
Jonathan Tah,Bayer 04 Leverkusen,Innenverteidiger,33.0,3130.0,46.0,,
Makoto Hasebe,Eintracht Frankfurt,Innenverteidiger,28.0,2697.0,39.0,,
Emiliano Insúa,VfB Stuttgart,Linksverteidiger,27.0,2219.0,32.0,,
Matija Nastasic,FC Schalke 04,Innenverteidiger,28.0,2636.0,38.0,,
John Anthony Brooks,VfL Wolfsburg,Innenverteidiger,29.0,2798.0,40.0,,
Robin Koch,SC Freiburg,Innenverteidiger,24.0,2048.0,29.0,,
Kevin Danso,FC Augsburg,Innenverteidiger,18.0,1346.0,19.0,,
Niklas Moisander,SV Werder Bremen,Innenverteidiger,30.0,2835.0,40.0,,
Dominique Heintz,SC Freiburg,Innenverteidiger,34.0,3266.0,46.0,,
Robin Knoche,VfL Wolfsburg,Innenverteidiger,32.0,2986.0,42.0,,
Tim Leibold,1. FC Nürnberg,Linksverteidiger,32.0,2934.0,41.0,,
Diego Demme,RB Leipzig,Defensives Mittelfeld,26.0,2155.0,30.0,,
Jérôme Boateng,FC Bayern München,Innenverteidiger,20.0,1798.0,25.0,,
Kevin Vogt,TSG 1899 Hoffenheim,Innenverteidiger,28.0,2540.0,35.0,,
Ja-cheol Koo,FC Augsburg,Offensives Mittelfeld,26.0,1744.0,24.0,,
Christian Gentner,VfB Stuttgart,Zentrales Mittelfeld,29.0,2122.0,29.0,,
