Name,Verein,Position,Einsatz,SpielMinuten,GrosschancenKreiert
Wendell,Bayer 04 Leverkusen,Linksverteidiger,28.0,2426.0,3.0
Thomas Delaney,Borussia Dortmund,Zentrales Mittelfeld,30.0,2427.0,3.0
Alassane Plea,B. Mönchengladbach,Stürmer,34.0,2640.0,3.0
William,VfL Wolfsburg,Rechtsverteidiger,31.0,2864.0,3.0
Oscar Wendt,B. Mönchengladbach,Linksverteidiger,32.0,2908.0,3.0
Axel Witsel,Borussia Dortmund,Defensives Mittelfeld,33.0,3093.0,3.0
Ludwig Augustinsson,SV Werder Bremen,Linksverteidiger,34.0,3237.0,3.0
Daniel Didavi,VfB Stuttgart,Offensives Mittelfeld,20.0,1027.0,2.0
Dennis Aogo,VfB Stuttgart,Linksverteidiger,15.0,1069.0,2.0
Alessandro Schöpf,FC Schalke 04,Offensives Mittelfeld,15.0,1093.0,2.0
Ihlas Bebou,Hannover 96,Rechte Außenbahn,12.0,1137.0,2.0
Leonardo Bittencourt,TSG 1899 Hoffenheim,Linke Außenbahn,21.0,1146.0,2.0
Christoph Kramer,B. Mönchengladbach,Defensives Mittelfeld,18.0,1207.0,2.0
Elvis Rexhbecaj,VfL Wolfsburg,Defensives Mittelfeld,24.0,1225.0,2.0
Jordan Torunarigha,Hertha BSC,Innenverteidiger,14.0,1233.0,2.0
Bobby Wood,Hannover 96,Stürmer,20.0,1273.0,2.0
Paco Alcácer,Borussia Dortmund,Stürmer,26.0,1338.0,2.0
Sebastian Rudy,FC Schalke 04,Defensives Mittelfeld,21.0,1455.0,2.0
Mark Uth,FC Schalke 04,Stürmer,20.0,1507.0,2.0
Alfredo Morales,Fortuna Düsseldorf,Zentrales Mittelfeld,23.0,1653.0,2.0
Eduard Löwen,1. FC Nürnberg,Zentrales Mittelfeld,22.0,1717.0,2.0
Jérôme Boateng,FC Bayern München,Innenverteidiger,20.0,1798.0,2.0
Suat Serdar,FC Schalke 04,Zentrales Mittelfeld,26.0,1831.0,2.0
Vincenzo Grifo,SC Freiburg,Linke Außenbahn,23.0,1868.0,2.0
Mats Hummels,FC Bayern München,Innenverteidiger,21.0,1873.0,2.0
Nabil Bentaleb,FC Schalke 04,Defensives Mittelfeld,25.0,1935.0,2.0
Mikael Ishak,1. FC Nürnberg,Stürmer,29.0,2030.0,2.0
Leon Goretzka,FC Bayern München,Zentrales Mittelfeld,30.0,2158.0,2.0
Jeffrey Gouweleeuw,FC Augsburg,Innenverteidiger,25.0,2243.0,2.0
Michael Gregoritsch,FC Augsburg,Offensives Mittelfeld,32.0,2633.0,2.0
Jonathan Schmid,FC Augsburg,Rechte Außenbahn,28.0,2687.0,2.0
Hanno Behrens,1. FC Nürnberg,Zentrales Mittelfeld,30.0,2795.0,2.0
Jean-Philippe Gbamin,1. FSV Mainz 05,Defensives Mittelfeld,31.0,2840.0,2.0
Theodor Gebre Selassie,SV Werder Bremen,Rechtsverteidiger,32.0,3018.0,2.0
